PCS length (L),Number of PCS of Length L
0,0
1,3724670
2,2696110
3,1996882
4,1406246
5,1016095
6,719316
7,521724
8,370592
9,269589
10,192584
11,139862
12,102588
13,75619
14,57032
15,42367
16,31576
17,24281
18,17954
19,13946
20,11313
21,8490
22,6828
23,5681
24,4420
25,3638
26,3062
27,2554
28,2108
29,1868
30,1603
31,1420
32,1243
33,1055
34,930
35,867
36,767
37,691
38,652
39,571
40,468
41,445
42,342
43,337
44,291
45,247
46,236
47,248
48,180
49,191
50,158
51,147
52,112
53,132
54,95
55,103
56,83
57,83
58,71
59,59
60,59
61,51
62,58
63,49
64,40
65,36
66,32
67,43
68,29
69,36
70,24
71,34
72,58
73,49
74,31
75,27
76,17
77,18
78,16
79,14
80,17
81,20
82,21
83,15
84,10
85,24
86,10
87,16
88,12
89,8
90,5
91,8
92,8
93,5
94,4
95,6
96,7
97,5
98,4
99,3
100,5
101,2
102,11
103,7
104,7
105,4
106,7
107,4
108,5
109,1
110,4
111,4
112,2
113,5
114,2
115,3
116,1
117,4
118,1
119,1
120,3
121,2
122,3
123,0
124,1
125,0
126,3
127,1
128,0
129,1
130,2
131,1
132,1
133,3
134,1
135,0
136,2
137,3
138,0
139,0
140,1
141,1
142,1
143,1
144,2
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,1
154,2
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,2
163,1
164,0
165,2
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,0
