PCS length (L),Number of PCS of Length L
0,0
1,92813
2,98030
3,134722
4,179421
5,220291
6,250737
7,272468
8,284452
9,290213
10,291614
11,287651
12,282544
13,273567
14,263496
15,253345
16,241053
17,230906
18,221007
19,209746
20,198950
21,188496
22,179490
23,170101
24,161334
25,153788
26,146719
27,138477
28,130310
29,125561
30,116125
31,110556
32,103788
33,98107
34,93218
35,89359
36,85006
37,80100
38,75096
39,71526
40,67739
41,64058
42,60769
43,57730
44,54735
45,51481
46,48784
47,46265
48,43851
49,41440
50,39449
51,37502
52,35428
53,33387
54,31848
55,30176
56,28868
57,27638
58,25903
59,25025
60,23750
61,22265
62,21330
63,19962
64,19234
65,18477
66,17252
67,16621
68,15742
69,14918
70,14047
71,13269
72,12830
73,12114
74,11597
75,10837
76,10682
77,9966
78,9511
79,8951
80,8786
81,8301
82,7751
83,7316
84,7085
85,6883
86,6494
87,6172
88,5769
89,5627
90,5318
91,5144
92,4898
93,4667
94,4319
95,4108
96,4009
97,3792
98,3669
99,3414
100,3345
101,3239
102,3121
103,2873
104,2770
105,2655
106,2431
107,2383
108,2294
109,2084
110,2130
111,1990
112,1835
113,1813
114,1714
115,1673
116,1609
117,1443
118,1454
119,1338
120,1320
121,1198
122,1271
123,1165
124,1132
125,994
126,1000
127,1006
128,956
129,923
130,887
131,859
132,762
133,717
134,706
135,703
136,662
137,664
138,601
139,579
140,555
141,479
142,492
143,493
144,501
145,436
146,465
147,434
148,397
149,418
150,376
151,345
152,352
153,333
154,306
155,298
156,273
157,289
158,279
159,254
160,269
161,221
162,211
163,225
164,213
165,228
166,190
167,188
168,190
169,190
170,172
171,155
172,149
173,143
174,133
175,141
176,121
177,127
178,134
179,130
180,139
181,122
182,109
183,109
184,99
185,112
186,93
187,89
188,95
189,89
190,88
191,77
192,87
193,84
194,73
195,73
196,71
197,59
198,63
199,63
200,48
201,49
202,62
203,43
204,54
205,52
206,61
207,57
208,55
209,37
210,47
211,49
212,40
213,44
214,38
215,47
216,50
217,44
218,39
219,31
220,26
221,31
222,40
223,31
224,24
225,28
226,29
227,34
228,35
229,32
230,34
231,29
232,32
233,23
234,20
235,21
236,30
237,22
238,21
239,20
240,18
241,22
242,21
243,23
244,16
245,19
246,14
247,17
248,17
249,15
250,9
251,15
252,14
253,12
254,16
255,17
256,18
257,14
258,12
259,17
260,12
261,17
262,15
263,5
264,9
265,9
266,16
267,10
268,12
269,7
270,11
271,15
272,13
273,7
274,8
275,9
276,13
277,13
278,9
279,12
280,5
281,10
282,6
283,6
284,5
285,9
286,6
287,13
288,8
289,7
290,6
291,7
292,5
293,11
294,6
295,9
296,9
297,6
298,7
299,5
300,6
301,7
302,2
303,9
304,6
305,8
306,6
307,2
308,3
309,3
310,2
311,3
312,2
313,4
314,4
315,4
316,1
317,8
318,1
319,6
320,2
321,4
322,3
323,2
324,5
325,3
326,4
327,2
328,4
329,2
330,4
331,2
332,2
333,1
334,1
335,0
336,3
337,2
338,3
339,2
340,1
341,1
342,2
343,2
344,1
345,2
346,2
347,1
348,3
349,3
350,5
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,3
360,1
361,0
362,1
363,0
364,1
365,0
366,1
367,0
368,2
369,1
370,2
371,2
372,2
373,0
374,1
375,0
376,1
377,1
378,0
379,0
380,3
381,1
382,0
383,1
384,0
385,2
386,1
387,3
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,2
408,0
409,0
410,0
411,0
412,3
413,1
414,1
415,0
416,0
417,1
418,0
419,0
420,0
421,3
422,0
423,1
424,0
425,2
426,1
427,2
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,0
462,0
463,0
464,1
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,2
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,2
486,0
487,0
488,2
489,1
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,2
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,3
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,0
530,0
