PCS length (L),Number of PCS of Length L
0,0
1,626436
2,559179
3,608907
4,546351
5,511623
6,493562
7,504752
8,481596
9,460201
10,445368
11,426716
12,408514
13,400954
14,393770
15,389529
16,375817
17,368657
18,354279
19,362649
20,347162
21,331169
22,324925
23,318020
24,310660
25,296814
26,287686
27,283746
28,278479
29,275530
30,272367
31,266299
32,256737
33,248419
34,242768
35,239494
36,237105
37,230472
38,226787
39,223738
40,217093
41,210996
42,209164
43,205483
44,201483
45,195752
46,191656
47,192899
48,187475
49,176696
50,174453
51,173420
52,174464
53,171274
54,163113
55,160341
56,158662
57,155365
58,150620
59,146795
60,144308
61,142807
62,141426
63,139363
64,133180
65,128779
66,126790
67,124477
68,122991
69,121003
70,118271
71,115943
72,112766
73,111361
74,110263
75,107740
76,104640
77,104004
78,101818
79,101611
80,98997
81,95470
82,93730
83,92141
84,91518
85,90157
86,88809
87,87790
88,85727
89,83580
90,81583
91,80332
92,78646
93,77717
94,75900
95,74870
96,73257
97,73120
98,71558
99,70016
100,68473
101,66575
102,65648
103,64246
104,62469
105,61517
106,60732
107,60244
108,59219
109,57889
110,57138
111,56199
112,53768
113,53020
114,52156
115,51406
116,50698
117,49511
118,49174
119,48513
120,47361
121,46685
122,45355
123,45018
124,44183
125,43597
126,43075
127,42519
128,41260
129,39915
130,39716
131,39117
132,38366
133,37698
134,37211
135,35966
136,35722
137,35157
138,34878
139,33895
140,33065
141,33047
142,32682
143,31946
144,30502
145,30140
146,29658
147,28870
148,28406
149,28244
150,28051
151,27238
152,26911
153,26114
154,25915
155,25174
156,24197
157,23900
158,23661
159,23010
160,22390
161,22081
162,21359
163,21461
164,20920
165,20543
166,20288
167,19734
168,19405
169,19196
170,18628
171,18356
172,18046
173,17958
174,17842
175,17333
176,16728
177,16567
178,16357
179,15958
180,15802
181,15444
182,15271
183,14568
184,14830
185,14423
186,14050
187,13915
188,13614
189,13409
190,12967
191,12770
192,12591
193,12327
194,12198
195,11994
196,11744
197,11753
198,11262
199,11223
200,11036
201,10793
202,10857
203,10326
204,10316
205,10073
206,9971
207,9775
208,9597
209,9380
210,9148
211,9277
212,9023
213,9062
214,8624
215,8451
216,8533
217,8219
218,8045
219,7851
220,7804
221,7578
222,7428
223,7536
224,7196
225,7103
226,7139
227,7051
228,7106
229,6823
230,6682
231,6555
232,6433
233,6296
234,6036
235,6090
236,5935
237,6091
238,5678
239,5610
240,5627
241,5423
242,5295
243,5311
244,5063
245,5013
246,4969
247,4832
248,4734
249,4765
250,4631
251,4550
252,4439
253,4403
254,4355
255,4263
256,4205
257,4118
258,4021
259,3930
260,3989
261,3915
262,3853
263,3733
264,3596
265,3534
266,3511
267,3638
268,3406
269,3437
270,3320
271,3387
272,3213
273,3195
274,3248
275,3184
276,2981
277,3080
278,2994
279,2935
280,2905
281,2818
282,2874
283,2751
284,2797
285,2575
286,2570
287,2634
288,2476
289,2442
290,2482
291,2564
292,2509
293,2398
294,2267
295,2326
296,2244
297,2178
298,2148
299,2048
300,2031
301,1987
302,2051
303,1973
304,1932
305,1827
306,1834
307,1772
308,1785
309,1706
310,1697
311,1655
312,1655
313,1590
314,1596
315,1543
316,1556
317,1561
318,1468
319,1534
320,1444
321,1391
322,1403
323,1399
324,1347
325,1291
326,1351
327,1311
328,1293
329,1235
330,1199
331,1171
332,1252
333,1193
334,1159
335,1103
336,1120
337,1123
338,1127
339,1118
340,1076
341,1046
342,1031
343,1006
344,955
345,947
346,927
347,962
348,912
349,902
350,880
351,863
352,854
353,884
354,825
355,829
356,801
357,831
358,821
359,820
360,790
361,807
362,790
363,728
364,741
365,741
366,780
367,739
368,684
369,661
370,651
371,696
372,665
373,642
374,644
375,628
376,624
377,650
378,581
379,604
380,595
381,552
382,587
383,505
384,518
385,540
386,538
387,540
388,487
389,489
390,458
391,472
392,494
393,502
394,437
395,512
396,454
397,473
398,436
399,427
400,429
401,434
402,399
403,404
404,405
405,407
406,358
407,388
408,393
409,341
410,351
411,387
412,378
413,327
414,329
415,334
416,332
417,311
418,324
419,322
420,296
421,307
422,284
423,302
424,296
425,304
426,298
427,261
428,294
429,281
430,306
431,265
432,269
433,265
434,267
435,253
436,240
437,248
438,232
439,242
440,241
441,245
442,257
443,248
444,194
445,217
446,186
447,228
448,208
449,202
450,198
451,197
452,186
453,198
454,197
455,209
456,205
457,199
458,179
459,176
460,198
461,189
462,141
463,152
464,167
465,150
466,156
467,156
468,136
469,170
470,161
471,140
472,171
473,148
474,160
475,141
476,129
477,139
478,141
479,123
480,163
481,109
482,137
483,129
484,122
485,124
486,131
487,138
488,133
489,126
490,129
491,111
492,103
493,125
494,102
495,99
496,93
497,105
498,118
499,123
500,124
501,100
502,87
503,90
504,71
505,88
506,81
507,83
508,104
509,99
510,89
511,92
512,89
513,83
514,85
515,87
516,73
517,74
518,87
519,62
520,73
521,80
522,68
523,66
524,79
525,66
526,74
527,62
528,66
529,64
530,66
531,64
532,69
533,62
534,69
535,59
536,59
537,77
538,52
539,61
540,43
541,50
542,56
543,63
544,57
545,54
546,58
547,52
548,33
549,43
550,50
551,43
552,57
553,50
554,40
555,42
556,62
557,59
558,42
559,46
560,44
561,38
562,38
563,45
564,43
565,46
566,39
567,30
568,45
569,43
570,35
571,48
572,45
573,34
574,37
575,34
576,26
577,28
578,32
579,33
580,26
581,35
582,32
583,40
584,24
585,34
586,32
587,31
588,34
589,37
590,17
591,33
592,33
593,23
594,22
595,25
596,25
597,40
598,35
599,31
600,21
601,25
602,17
603,21
604,33
605,18
606,22
607,26
608,21
609,21
610,20
611,17
612,28
613,29
614,18
615,19
616,30
617,28
618,22
619,18
620,18
621,17
622,22
623,10
624,14
625,15
626,17
627,11
628,10
629,22
630,19
631,16
632,25
633,18
634,21
635,18
636,21
637,17
638,14
639,11
640,14
641,9
642,20
643,14
644,10
645,19
646,9
647,12
648,14
649,10
650,10
651,9
652,14
653,7
654,9
655,16
656,13
657,17
658,14
659,16
660,13
661,12
662,14
663,12
664,6
665,17
666,6
667,14
668,8
669,4
670,10
671,8
672,10
673,13
674,10
675,9
676,5
677,7
678,4
679,8
680,9
681,5
682,5
683,9
684,6
685,10
686,8
687,11
688,6
689,10
690,8
691,12
692,6
693,6
694,9
695,13
696,8
697,8
698,9
699,3
700,8
701,8
702,7
703,4
704,7
705,3
706,3
707,11
708,5
709,8
710,5
711,5
712,8
713,5
714,5
715,3
716,7
717,6
718,9
719,8
720,6
721,8
722,8
723,5
724,3
725,6
726,5
727,3
728,4
729,5
730,4
731,5
732,4
733,3
734,1
735,2
736,4
737,7
738,8
739,3
740,3
741,4
742,8
743,2
744,4
745,9
746,3
747,3
748,6
749,5
750,5
751,2
752,4
753,3
754,3
755,4
756,3
757,1
758,1
759,6
760,4
761,1
762,7
763,4
764,6
765,3
766,4
767,1
768,2
769,4
770,0
771,6
772,3
773,2
774,3
775,3
776,3
777,3
778,5
779,2
780,0
781,0
782,3
783,1
784,0
785,2
786,5
787,1
788,0
789,3
790,1
791,1
792,2
793,0
794,2
795,3
796,0
797,1
798,3
799,3
800,2
801,2
802,5
803,0
804,1
805,3
806,3
807,3
808,0
809,1
810,2
811,3
812,0
813,2
814,2
815,0
816,2
817,0
818,0
819,1
820,1
821,3
822,3
823,3
824,0
825,2
826,1
827,1
828,2
829,3
830,3
831,0
832,3
833,0
834,1
835,2
836,2
837,1
838,1
839,1
840,2
841,1
842,2
843,2
844,0
845,1
846,0
847,0
848,0
849,2
850,2
851,2
852,1
853,2
854,0
855,1
856,2
857,1
858,0
859,1
860,0
861,0
862,2
863,3
864,1
865,0
866,1
867,1
868,3
869,0
870,0
871,0
872,1
873,0
874,0
875,0
876,1
877,1
878,1
879,0
880,4
881,0
882,0
883,0
884,0
885,3
886,1
887,0
888,1
889,0
890,0
891,0
892,4
893,1
894,0
895,1
896,1
897,0
898,1
899,1
900,0
901,0
902,1
903,2
904,2
905,0
906,3
907,2
908,1
909,1
910,0
911,1
912,0
913,0
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,2
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,1
934,1
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,1
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,1
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,1
994,0
995,0
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,1
1003,0
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
