PCS length (L),Number of PCS of Length L
0,0
1,3623270
2,2658864
3,1970565
4,1405778
5,1018678
6,728755
7,529731
8,377872
9,273368
10,197331
11,145162
12,104910
13,78582
14,58895
15,43830
16,33914
17,25684
18,19294
19,14982
20,11865
21,9363
22,7425
23,6131
24,4761
25,3988
26,3391
27,2734
28,2409
29,1990
30,1697
31,1483
32,1346
33,1137
34,956
35,859
36,805
37,700
38,661
39,524
40,497
41,454
42,371
43,352
44,318
45,253
46,256
47,242
48,208
49,190
50,157
51,147
52,123
53,139
54,98
55,105
56,82
57,76
58,71
59,73
60,51
61,45
62,55
63,51
64,35
65,41
66,30
67,35
68,39
69,37
70,34
71,39
72,62
73,51
74,28
75,20
76,20
77,16
78,14
79,20
80,15
81,19
82,16
83,20
84,17
85,16
86,9
87,14
88,11
89,9
90,9
91,10
92,6
93,6
94,5
95,3
96,4
97,3
98,13
99,4
100,3
101,2
102,13
103,6
104,4
105,3
106,5
107,4
108,3
109,1
110,2
111,4
112,1
113,5
114,5
115,2
116,3
117,4
118,0
119,0
120,1
121,1
122,3
123,5
124,1
125,1
126,1
127,5
128,1
129,0
130,3
131,0
132,0
133,2
134,1
135,1
136,3
137,4
138,0
139,0
140,2
141,0
142,2
143,0
144,2
145,1
146,1
147,0
148,3
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
