PCS length (L),Number of PCS of Length L
0,0
1,255228
2,224574
3,195701
4,183837
5,173538
6,164319
7,159538
8,153997
9,148734
10,144171
11,138727
12,133090
13,128350
14,124643
15,121268
16,119173
17,115272
18,112879
19,109954
20,107544
21,106097
22,103131
23,101213
24,99061
25,97410
26,96001
27,94106
28,92380
29,91224
30,89517
31,87955
32,86221
33,84888
34,82947
35,82180
36,81036
37,79620
38,78397
39,77479
40,76105
41,75621
42,74291
43,73537
44,72600
45,70787
46,70569
47,69280
48,68027
49,68065
50,66594
51,65969
52,65193
53,64190
54,63868
55,63017
56,62377
57,61492
58,61023
59,59901
60,59784
61,58335
62,58017
63,57126
64,56005
65,55921
66,55212
67,54552
68,53863
69,53694
70,52255
71,52123
72,51573
73,51173
74,50519
75,49853
76,49717
77,49118
78,48280
79,47647
80,47455
81,46758
82,46473
83,46026
84,45829
85,44806
86,44539
87,44452
88,43702
89,42861
90,42770
91,42021
92,41341
93,41086
94,41089
95,40219
96,39586
97,39568
98,39371
99,38995
100,38733
101,38381
102,38045
103,37337
104,37153
105,36878
106,36349
107,35935
108,35584
109,35423
110,34913
111,34335
112,34528
113,34067
114,33851
115,33273
116,33370
117,32626
118,32549
119,31924
120,31912
121,31593
122,31025
123,30753
124,30289
125,30329
126,29837
127,29476
128,29623
129,29212
130,28467
131,28968
132,28339
133,28139
134,27669
135,27589
136,27438
137,27162
138,26697
139,26578
140,26318
141,26151
142,25727
143,25452
144,25660
145,25133
146,25028
147,24629
148,24565
149,24170
150,24051
151,23910
152,23542
153,23269
154,23203
155,23078
156,22984
157,22617
158,22163
159,22140
160,21850
161,21641
162,21545
163,21527
164,21222
165,21026
166,20819
167,20718
168,20237
169,20298
170,20145
171,19788
172,19750
173,19397
174,19366
175,19373
176,19005
177,18807
178,18589
179,18663
180,18169
181,18123
182,17746
183,17884
184,17641
185,17681
186,17481
187,17539
188,17123
189,16839
190,16808
191,16525
192,16620
193,16548
194,16180
195,16173
196,15913
197,15870
198,15883
199,15705
200,15432
201,15488
202,15132
203,15044
204,14844
205,14899
206,14650
207,14559
208,14299
209,14300
210,14283
211,14000
212,13948
213,13787
214,13625
215,13346
216,13419
217,13017
218,13202
219,13022
220,13016
221,12961
222,12741
223,12463
224,12591
225,12524
226,12363
227,12340
228,12232
229,11953
230,12115
231,11831
232,11722
233,11863
234,11796
235,11511
236,11376
237,11410
238,11031
239,11228
240,11167
241,10962
242,10889
243,10697
244,10878
245,10569
246,10646
247,10451
248,10315
249,10175
250,10180
251,10229
252,10082
253,9879
254,9893
255,10080
256,9902
257,9440
258,9481
259,9392
260,9438
261,9464
262,9056
263,9110
264,9251
265,9131
266,8839
267,8960
268,8878
269,8781
270,8802
271,8625
272,8649
273,8538
274,8280
275,8189
276,8492
277,8173
278,8155
279,8033
280,8127
281,8034
282,7837
283,7757
284,7637
285,7575
286,7554
287,7578
288,7431
289,7485
290,7404
291,7374
292,7309
293,7289
294,7184
295,7189
296,7155
297,6958
298,6971
299,6867
300,6767
301,6849
302,6774
303,6684
304,6592
305,6546
306,6611
307,6427
308,6422
309,6419
310,6357
311,6435
312,6334
313,6137
314,6000
315,5975
316,5972
317,6059
318,5943
319,5888
320,5926
321,5955
322,5702
323,5672
324,5682
325,5617
326,5610
327,5543
328,5523
329,5402
330,5498
331,5372
332,5327
333,5324
334,5239
335,5246
336,5081
337,5130
338,5258
339,5068
340,5044
341,4917
342,4921
343,4959
344,4861
345,4966
346,4702
347,4869
348,4785
349,4665
350,4680
351,4590
352,4478
353,4574
354,4414
355,4520
356,4447
357,4522
358,4480
359,4399
360,4343
361,4269
362,4272
363,4231
364,4272
365,4023
366,4059
367,4032
368,4038
369,4078
370,3929
371,3883
372,3986
373,3848
374,3876
375,3780
376,3858
377,3737
378,3689
379,3786
380,3706
381,3762
382,3750
383,3634
384,3559
385,3530
386,3556
387,3553
388,3471
389,3414
390,3498
391,3461
392,3374
393,3276
394,3397
395,3379
396,3316
397,3305
398,3248
399,3273
400,3205
401,3163
402,3159
403,3153
404,3054
405,3081
406,3079
407,3098
408,3062
409,2922
410,2980
411,2948
412,2941
413,2909
414,2984
415,2914
416,2922
417,2734
418,2834
