PCS length (L),Number of PCS of Length L
0,0
1,31165793
2,23723226
3,18201488
4,14142868
5,11156545
6,8623106
7,6814128
8,5510471
9,4317216
10,3452213
11,2841627
12,2237417
13,1815264
14,1521452
15,1202236
16,981330
17,842729
18,663804
19,547758
20,482710
21,380388
22,319144
23,288577
24,224968
25,192026
26,179195
27,139850
28,119981
29,115839
30,89380
31,78596
32,77619
33,59616
34,52602
35,54263
36,40931
37,36681
38,39071
39,29366
40,26683
41,28989
42,21883
43,19744
44,21937
45,16297
46,15048
47,16918
48,12668
49,11601
50,13481
51,9945
52,9249
53,10540
54,7874
55,7413
56,8736
57,6257
58,5900
59,7057
60,5324
61,5054
62,5799
63,4388
64,4120
65,4867
66,3667
67,3430
68,4083
69,3042
70,2881
71,3508
72,2589
73,2515
74,2850
75,2244
76,2064
77,2504
78,1918
79,1818
80,2167
81,1719
82,1534
83,1848
84,1467
85,1392
86,1696
87,1238
88,1200
89,1432
90,1161
91,1106
92,1229
93,1007
94,964
95,1062
96,894
97,889
98,933
99,738
100,769
101,782
102,691
103,703
104,720
105,668
106,580
107,663
108,535
109,557
110,604
111,512
112,499
113,530
114,440
115,436
116,509
117,430
118,412
119,433
120,377
121,371
122,372
123,355
124,317
125,346
126,321
127,291
128,333
129,319
130,269
131,307
132,252
133,240
134,236
135,268
136,206
137,244
138,219
139,207
140,234
141,179
142,194
143,213
144,186
145,178
146,208
147,160
148,146
149,178
150,150
151,147
152,162
153,155
154,144
155,138
156,131
157,141
158,134
159,147
160,126
161,133
162,99
163,107
164,110
165,118
166,121
167,95
168,81
169,84
170,96
171,97
172,101
173,94
174,100
175,83
176,77
177,76
178,91
179,104
180,61
181,83
182,80
183,75
184,97
185,63
186,63
187,73
188,75
189,84
190,63
191,49
192,64
193,57
194,61
195,45
196,63
197,55
198,45
199,44
200,49
201,55
202,51
203,35
204,51
205,55
206,52
207,51
208,48
209,50
210,43
211,41
212,39
213,43
214,48
215,41
216,38
217,40
218,47
219,36
220,43
221,33
222,37
223,29
224,52
225,25
226,41
227,37
228,36
229,44
230,41
231,25
232,16
233,28
234,30
235,27
236,29
237,41
238,29
239,41
240,26
241,22
242,25
243,17
244,19
245,26
246,17
247,28
248,20
249,16
250,23
251,25
252,23
253,12
254,22
255,26
256,26
257,18
258,17
259,20
260,26
261,20
262,23
263,23
264,18
265,11
266,18
267,18
268,13
269,20
270,15
271,17
272,20
273,12
274,10
275,21
276,9
277,12
278,12
279,15
280,14
281,15
282,12
283,11
284,21
285,15
286,10
287,14
288,8
289,16
290,13
291,14
292,11
293,10
294,8
295,9
296,10
297,7
298,7
299,17
300,7
301,12
302,10
303,12
304,12
305,10
306,11
307,10
308,6
309,10
310,6
311,10
312,7
313,11
314,11
315,7
316,13
317,1
318,7
319,6
320,9
321,10
322,7
323,7
324,8
325,6
326,4
327,7
328,11
329,9
330,8
331,10
332,10
333,6
334,1
335,5
336,4
337,8
338,6
339,3
340,3
341,5
342,6
343,8
344,3
345,6
346,6
347,5
348,7
349,6
350,5
351,4
352,7
353,5
354,3
355,4
356,7
357,3
358,3
359,6
360,5
361,5
362,3
363,3
364,2
365,4
366,3
367,7
368,1
369,4
370,5
371,6
372,5
373,4
374,9
375,5
376,5
377,1
378,4
379,3
380,1
381,1
382,2
383,4
384,2
385,2
386,3
387,3
388,4
389,2
390,3
391,4
392,4
393,3
394,6
395,0
396,5
397,2
398,2
399,7
400,4
401,1
402,3
403,5
404,3
405,4
406,4
407,3
408,1
409,0
410,3
411,8
412,2
413,5
414,5
415,0
416,2
417,4
418,2
419,3
420,3
421,3
422,2
423,0
424,1
425,2
426,0
427,4
428,2
429,0
430,3
431,3
432,0
433,1
434,2
435,3
436,1
437,0
438,3
439,1
440,1
441,1
442,1
443,1
444,2
445,0
446,6
447,4
448,0
449,3
450,2
451,3
452,2
453,1
454,0
455,2
456,2
457,2
458,3
459,0
460,0
461,1
462,2
463,0
464,1
465,1
466,4
467,0
468,1
469,0
470,1
471,0
472,1
473,1
474,3
475,2
476,2
477,0
478,0
479,0
480,0
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,2
490,2
491,3
492,0
493,0
494,1
495,0
496,2
497,1
498,0
499,1
500,2
501,0
502,0
503,2
504,0
505,2
506,2
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,2
515,1
516,0
517,0
518,0
519,1
520,1
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,0
530,3
531,0
532,0
533,0
534,0
535,2
536,0
537,1
538,1
539,0
540,1
541,0
542,2
543,1
544,3
545,0
546,1
547,0
548,1
549,2
550,0
551,0
552,2
553,0
554,0
555,0
556,0
557,0
558,2
559,2
560,0
561,1
562,1
563,0
564,0
565,1
566,0
567,0
568,0
569,1
570,0
571,0
572,1
573,0
574,2
575,0
576,0
577,0
578,1
579,0
580,1
581,0
582,1
583,0
584,0
585,2
586,1
587,2
588,0
589,0
590,0
591,0
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,1
603,1
604,0
605,1
606,1
607,0
608,0
609,0
610,1
611,2
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,1
621,0
622,0
623,1
624,0
625,0
626,0
627,0
628,0
629,2
630,1
631,0
632,1
633,1
634,0
635,1
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,1
658,0
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,1
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,1
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
