PCS length (L),Number of PCS of Length L
0,0
1,47280087
2,35760511
3,27584872
4,21365069
5,16709081
6,12961996
7,10172396
8,8173515
9,6409419
10,5100041
11,4156896
12,3276091
13,2647083
14,2190969
15,1741198
16,1409384
17,1188298
18,940913
19,771219
20,665549
21,527901
22,438937
23,385478
24,303568
25,256187
26,232251
27,183287
28,155526
29,145101
30,113742
31,98508
32,94363
33,73363
34,64035
35,64246
36,49200
37,43751
38,45021
39,34209
40,30861
41,32541
42,24950
43,22328
44,24276
45,18338
46,16822
47,18556
48,14023
49,12809
50,14570
51,10889
52,10067
53,11298
54,8528
55,7982
56,9304
57,6788
58,6360
59,7471
60,5729
61,5422
62,6150
63,4684
64,4408
65,5115
66,3915
67,3650
68,4293
69,3234
70,3048
71,3688
72,2741
73,2670
74,3040
75,2404
76,2211
77,2620
78,2046
79,1940
80,2245
81,1820
82,1638
83,1931
84,1551
85,1469
86,1782
87,1303
88,1281
89,1489
90,1223
91,1158
92,1294
93,1058
94,1003
95,1105
96,929
97,917
98,975
99,774
100,819
101,806
102,718
103,737
104,760
105,714
106,608
107,677
108,562
109,587
110,636
111,533
112,528
113,553
114,470
115,455
116,535
117,444
118,443
119,460
120,407
121,385
122,403
123,377
124,338
125,354
126,341
127,301
128,346
129,342
130,279
131,325
132,265
133,262
134,247
135,279
136,227
137,260
138,232
139,208
140,242
141,198
142,204
143,231
144,193
145,187
146,214
147,167
148,159
149,196
150,159
151,148
152,172
153,158
154,150
155,143
156,142
157,142
158,145
159,155
160,133
161,131
162,104
163,117
164,112
165,119
166,126
167,106
168,90
169,94
170,105
171,101
172,108
173,109
174,102
175,87
176,84
177,81
178,95
179,106
180,65
181,88
182,86
183,70
184,100
185,71
186,61
187,73
188,78
189,88
190,69
191,51
192,66
193,61
194,66
195,51
196,62
197,62
198,46
199,47
200,55
201,61
202,52
203,36
204,53
205,56
206,56
207,56
208,50
209,52
210,45
211,42
212,39
213,47
214,49
215,46
216,39
217,41
218,48
219,36
220,46
221,35
222,37
223,30
224,54
225,27
226,43
227,40
228,37
229,44
