PCS length (L),Number of PCS of Length L
0,0
1,75352042
2,50364227
3,32936217
4,21469589
5,14290266
6,9091386
7,6019202
8,4234645
9,2723683
10,1878113
11,1449213
12,930012
13,677913
14,584647
15,370684
16,283328
17,275930
18,172418
19,139196
20,148988
21,91544
22,77476
23,88786
24,54120
25,46315
26,56902
27,34380
28,29879
29,37498
30,22825
31,20100
32,25935
33,16027
34,14274
35,18401
36,11453
37,10197
38,13298
39,8503
40,7588
41,9801
42,6283
43,5634
44,7277
45,4745
46,4370
47,5567
48,3748
49,3410
50,4212
51,2827
52,2779
53,3277
54,2405
55,2134
56,2637
57,1937
58,1793
59,2138
60,1493
61,1497
62,1730
63,1245
64,1248
65,1400
66,1025
67,983
68,1185
69,850
70,863
71,968
72,757
73,692
74,801
75,672
76,638
77,695
78,518
79,542
80,598
81,491
82,459
83,510
84,451
85,434
86,447
87,375
88,355
89,369
90,351
91,325
92,323
93,275
94,280
95,314
96,241
97,225
98,258
99,239
100,208
101,251
102,258
103,176
104,215
105,168
106,195
107,196
108,152
109,159
110,168
111,146
112,171
113,148
114,142
115,149
116,137
117,133
118,109
119,131
120,99
121,108
122,103
123,90
124,121
125,99
126,101
127,94
128,92
129,90
130,77
131,99
132,61
133,79
134,75
135,59
136,64
137,83
138,58
139,62
140,66
141,54
142,74
143,46
144,61
145,51
146,65
147,60
148,45
149,41
150,56
151,47
152,57
153,55
154,37
155,28
156,52
157,32
158,47
159,42
160,33
161,32
162,42
163,29
164,38
165,38
166,37
167,30
168,37
169,35
170,31
171,43
172,25
173,28
174,31
175,27
176,24
177,24
178,25
179,23
180,31
181,20
182,28
183,24
184,20
185,20
186,18
187,19
188,25
189,28
190,24
191,10
192,15
193,23
194,15
195,17
196,13
197,9
198,16
199,10
200,13
201,14
202,13
203,13
204,6
205,8
206,9
207,16
208,6
209,16
210,17
211,11
212,12
213,12
214,6
215,13
216,9
217,15
218,6
219,12
220,7
221,8
222,13
223,11
224,13
225,6
226,9
227,8
228,9
229,7
230,4
231,8
232,8
233,7
234,7
235,10
236,4
237,9
238,7
239,5
240,7
241,4
242,4
243,8
244,4
245,4
246,2
247,12
248,5
249,6
250,4
251,4
252,6
253,2
254,2
255,4
256,3
257,7
258,1
259,1
260,1
261,1
262,3
263,4
264,3
265,5
266,3
267,5
268,4
269,5
270,4
271,3
272,7
273,5
274,2
275,4
276,2
277,5
278,6
279,3
280,4
281,1
282,2
283,2
284,2
285,3
286,3
287,0
288,1
289,1
290,4
291,2
292,0
293,2
294,3
295,2
296,5
297,4
298,4
299,3
300,4
301,4
302,3
303,0
304,4
305,1
306,1
307,0
308,3
309,1
310,6
311,5
312,3
313,2
314,1
315,1
316,2
317,1
318,0
319,1
320,2
321,4
322,2
323,3
324,2
325,1
326,2
327,1
328,1
329,1
330,1
331,1
332,2
333,0
334,0
335,3
336,2
337,1
338,2
339,1
340,1
341,1
342,1
343,2
344,4
345,1
346,1
347,2
348,1
349,2
350,0
351,0
352,0
353,0
354,0
355,1
356,3
357,0
358,1
359,0
360,0
361,1
362,2
363,1
364,4
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,1
375,0
376,2
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,2
389,1
390,0
391,0
392,0
