PCS length (L),Number of PCS of Length L
0,0
1,5512295
2,4949314
3,4556168
4,4211592
5,3917440
6,3599894
7,3341347
8,3121917
9,2876008
10,2663557
11,2487573
12,2297370
13,2140295
14,2009484
15,1859588
16,1729566
17,1621101
18,1497488
19,1396316
20,1309798
21,1213248
22,1130302
23,1065728
24,986240
25,921620
26,868136
27,802753
28,751447
29,707963
30,654725
31,614040
32,579903
33,537414
34,503698
35,475695
36,439399
37,412101
38,390625
39,362137
40,338130
41,322521
42,298935
43,280164
44,267434
45,247419
46,231450
47,221094
48,204500
49,191861
50,183841
51,169134
52,158602
53,152763
54,141469
55,132908
56,128147
57,117629
58,110646
59,106472
60,98295
61,92900
62,89492
63,82854
64,77546
65,75753
66,68562
67,65477
68,63472
69,58601
70,55102
71,54155
72,49225
73,46547
74,45689
75,41897
76,39397
77,38790
78,35547
79,33602
80,32818
81,30090
82,28244
83,28051
84,25636
85,24560
86,24172
87,22069
88,21025
89,20835
90,18957
91,18043
92,17642
93,16367
94,15447
95,15616
96,14213
97,13468
98,13375
99,12239
100,11759
101,11592
102,10639
103,10098
104,10185
105,9239
106,8777
107,8895
108,7933
109,7644
110,7870
111,6973
112,6709
113,7133
114,6257
115,6096
116,6234
117,5440
118,5426
119,5395
120,4897
121,4709
122,4745
123,4370
124,4240
125,4309
126,3895
127,3728
128,3810
129,3630
130,3406
131,3553
132,3115
133,3005
134,3089
135,2798
136,2670
137,2808
138,2564
139,2493
140,2502
141,2365
142,2229
143,2352
144,2073
145,1926
146,2205
147,1836
148,1824
149,1946
150,1655
151,1639
152,1759
153,1596
154,1482
155,1589
156,1411
157,1434
158,1413
159,1290
160,1280
161,1351
162,1203
163,1173
164,1199
165,993
166,1032
167,1103
168,993
169,959
170,1067
171,909
172,843
173,974
174,793
175,827
176,840
177,756
178,764
179,814
180,699
181,710
182,724
183,698
184,647
185,723
186,589
187,637
188,606
189,612
190,544
191,605
192,545
193,518
194,542
195,520
196,505
197,493
198,501
199,451
200,503
201,439
202,422
203,415
204,428
205,404
206,449
207,358
208,370
209,373
210,313
211,323
212,337
213,328
214,331
215,306
216,307
217,311
218,308
219,304
220,250
221,306
222,245
223,266
224,282
225,248
226,240
227,239
228,214
229,223
230,208
231,217
232,222
233,234
234,216
235,200
236,236
237,210
238,199
239,194
240,182
241,183
242,173
243,166
244,125
245,184
246,167
247,156
248,180
249,165
250,157
251,162
252,134
253,145
254,152
255,118
256,115
257,126
258,122
259,110
260,133
261,122
262,128
263,115
264,107
265,113
266,99
267,111
268,89
269,113
270,108
271,109
272,97
273,110
274,92
275,94
276,91
277,83
278,104
279,88
280,87
281,97
282,77
283,73
284,77
285,90
286,71
287,84
288,71
289,76
290,80
291,72
292,81
293,75
294,60
295,58
296,63
297,73
298,68
299,80
300,70
301,68
302,56
303,46
304,46
305,68
306,50
307,49
308,60
309,47
310,63
311,50
312,59
313,51
314,61
315,43
316,38
317,56
318,46
319,34
320,59
321,39
322,33
323,44
324,33
325,51
326,37
327,45
328,31
329,42
330,26
331,35
332,36
333,43
334,34
335,42
336,33
337,29
338,38
339,35
340,24
341,28
342,21
343,31
344,32
345,29
346,33
347,29
348,33
349,33
350,25
351,29
352,32
353,27
354,21
355,32
356,27
357,28
358,26
359,29
360,18
361,24
362,28
363,21
364,25
365,23
366,25
367,24
368,34
369,24
370,33
371,23
372,27
373,14
374,21
375,17
376,20
377,23
378,16
379,12
380,26
381,19
382,14
383,18
384,21
385,24
386,14
387,23
388,18
389,23
390,10
391,16
392,18
393,9
394,9
395,23
396,19
397,7
398,13
399,22
400,13
401,19
402,17
403,16
404,12
405,12
406,14
407,15
408,14
409,14
410,12
411,12
412,13
413,13
414,17
415,11
416,9
417,14
418,14
419,10
420,15
421,16
422,9
423,8
424,7
425,11
426,14
427,7
428,10
429,12
430,7
431,13
432,12
433,15
434,11
435,7
436,12
437,6
438,12
439,10
440,15
441,10
442,9
443,7
444,10
445,6
446,6
447,8
448,6
449,9
450,15
451,7
452,4
453,7
454,10
455,9
456,7
457,6
458,8
459,10
460,8
461,3
462,6
463,7
464,7
465,5
466,11
467,8
468,3
469,4
470,10
471,6
472,5
473,6
474,5
475,3
476,10
477,8
478,3
479,5
480,8
481,7
482,7
483,4
484,3
485,5
486,2
487,4
488,10
489,4
490,4
491,7
492,3
493,7
494,7
495,8
496,10
497,7
498,6
499,7
500,9
501,8
502,9
503,2
504,1
505,1
506,8
507,5
508,11
509,7
510,4
511,6
512,4
513,7
514,4
515,7
516,1
517,2
518,4
519,3
520,5
521,6
522,4
523,4
524,5
525,3
526,2
527,5
528,2
529,5
530,4
531,6
532,2
533,3
534,0
535,6
536,3
537,2
538,2
539,4
540,3
541,1
542,5
543,4
544,2
545,2
546,2
547,2
548,5
549,1
550,0
551,5
552,3
553,5
554,3
555,4
556,3
557,0
558,2
559,0
560,2
561,4
562,2
563,4
564,1
565,5
566,3
567,3
568,2
569,3
570,1
571,3
572,1
573,0
574,2
575,0
576,0
577,5
578,1
579,1
580,1
581,1
582,4
583,4
584,4
585,0
586,0
587,2
588,1
589,5
590,2
591,2
592,5
593,0
594,2
595,4
596,0
597,4
598,0
599,2
600,0
601,3
602,3
603,3
604,4
605,0
606,1
607,1
608,3
609,0
610,4
611,0
612,2
613,2
614,0
615,1
616,0
617,2
618,1
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,1
627,0
628,2
629,3
630,2
631,2
632,2
633,3
634,0
635,0
636,1
637,0
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,2
647,0
648,0
649,1
650,0
651,3
652,1
653,3
654,2
655,0
656,2
657,1
658,5
659,0
660,2
661,0
662,1
663,3
664,2
665,0
666,2
667,0
668,1
669,1
670,1
671,1
672,0
673,1
674,0
675,1
676,0
677,0
678,0
679,1
680,0
681,1
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,2
693,0
694,1
695,0
696,0
697,2
698,2
699,0
700,0
701,1
702,3
703,0
704,1
705,0
706,0
707,1
708,0
709,0
710,1
711,1
712,1
713,1
714,0
715,2
716,0
717,1
718,2
719,0
720,3
721,1
722,1
723,1
724,1
725,0
726,1
727,1
728,1
729,0
730,2
731,1
732,0
733,0
734,1
735,0
736,0
737,0
738,0
739,1
740,1
741,0
742,1
743,2
744,1
745,1
746,0
747,1
748,0
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,1
762,0
763,0
764,2
765,0
766,2
767,0
768,0
769,0
770,0
771,0
772,0
773,1
774,0
775,0
776,0
777,0
778,0
779,1
780,0
781,0
782,0
783,0
784,0
785,0
786,2
787,0
788,0
789,3
790,1
791,0
792,0
793,1
794,0
