PCS length (L),Number of PCS of Length L
0,0
1,6282412
2,4679993
3,2090585
4,1190690
5,1065881
6,402814
7,247766
8,293500
9,96576
10,60907
11,95285
12,28317
13,19738
14,36343
15,10356
16,7355
17,14676
18,4319
19,3437
20,6746
21,2170
22,1554
23,2963
24,1047
25,861
26,1501
27,533
28,487
29,893
30,312
31,287
32,414
33,221
34,172
35,248
36,132
37,103
38,186
39,84
40,76
41,118
42,67
43,61
44,71
45,46
46,35
47,45
48,24
49,27
50,36
51,30
52,30
53,32
54,15
55,18
56,9
57,16
58,10
59,17
60,15
61,14
62,12
63,7
64,6
65,6
66,8
67,3
68,5
69,5
70,5
71,7
72,7
73,2
74,6
75,4
76,4
77,6
78,4
79,1
80,4
81,8
82,0
83,2
84,2
85,3
86,5
87,0
88,2
89,3
90,1
91,1
92,3
93,0
94,1
95,4
96,1
97,1
98,0
99,1
100,3
101,0
102,1
103,1
104,1
105,0
106,1
107,2
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,2
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,1
136,1
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
