PCS length (L),Number of PCS of Length L
0,0
1,69844200
2,51829923
3,38950591
4,29386305
5,22410527
6,16837017
7,12880810
8,10024067
9,7633642
10,5916294
11,4700171
12,3595910
13,2824320
14,2291806
15,1755317
16,1391395
17,1156256
18,883669
19,710429
20,610219
21,462904
22,378236
23,338085
24,255376
25,211593
26,196928
27,147552
28,124092
29,121045
30,89113
31,76871
32,78702
33,57380
34,50248
35,53081
36,38384
37,34072
38,37914
39,26604
40,24296
41,27782
42,19421
43,17798
44,20781
45,14380
46,13410
47,16081
48,11115
49,10435
50,12583
51,8662
52,8135
53,9793
54,7068
55,6646
56,7915
57,5574
58,5254
59,6680
60,4520
61,4300
62,5273
63,3858
64,3548
65,4348
66,3144
67,2999
68,3612
69,2617
70,2534
71,3005
72,2274
73,2200
74,2634
75,1910
76,1916
77,2196
78,1720
79,1603
80,1912
81,1446
82,1318
83,1576
84,1186
85,1109
86,1392
87,1116
88,1096
89,1185
90,997
91,915
92,1032
93,854
94,766
95,927
96,751
97,671
98,819
99,663
100,635
101,709
102,611
103,547
104,670
105,553
106,510
107,570
108,449
109,445
110,518
111,425
112,377
113,433
114,350
115,359
116,428
117,339
118,372
119,375
120,313
121,282
122,306
123,288
124,288
125,308
126,260
127,254
128,293
129,249
130,233
131,262
132,238
133,209
134,198
135,216
136,167
137,238
138,188
139,171
140,193
141,190
142,164
143,195
144,163
145,148
146,183
147,127
148,125
149,153
150,139
151,138
152,141
153,125
154,130
155,161
156,120
157,98
158,111
159,99
160,116
161,119
162,97
163,113
164,109
165,108
166,93
167,94
168,86
169,82
170,87
171,76
172,87
173,79
174,73
175,84
176,69
177,76
178,69
179,69
180,69
181,71
182,73
183,63
184,67
185,56
186,53
187,65
188,61
189,52
190,55
191,54
192,61
193,54
194,35
195,58
196,56
197,38
198,50
199,46
200,45
201,45
202,47
203,34
204,49
205,48
206,40
207,39
208,35
209,29
210,29
211,34
212,40
213,36
214,26
215,38
216,41
217,31
218,33
219,23
220,38
221,40
222,37
223,30
224,25
225,32
226,22
227,31
228,27
229,27
230,30
231,22
232,25
233,22
234,17
235,28
236,23
237,28
238,24
239,26
240,18
241,21
242,22
243,17
244,17
245,23
246,19
247,14
248,21
249,11
250,9
251,26
252,12
253,17
254,13
255,17
256,14
257,15
258,19
259,11
260,19
261,23
262,14
263,20
264,21
265,15
266,21
267,17
268,14
269,10
270,13
271,16
272,13
273,17
274,6
275,18
276,8
277,12
278,11
279,11
280,15
281,13
282,9
283,10
284,15
285,10
286,15
287,6
288,4
289,14
290,11
291,9
292,10
293,19
294,7
295,12
296,8
297,6
298,10
299,11
300,15
301,7
302,7
303,8
304,16
305,9
306,10
307,6
308,14
309,12
310,6
311,7
312,3
313,8
314,3
315,5
316,5
317,5
318,4
319,5
320,6
321,15
322,5
323,3
324,6
325,3
326,7
327,6
328,1
329,6
330,10
331,3
332,6
333,8
334,3
335,5
336,3
337,4
338,7
339,4
340,3
341,9
342,2
343,5
344,6
345,6
346,6
347,3
348,8
349,4
350,5
351,4
352,7
353,3
354,4
355,6
356,4
357,4
358,2
359,5
360,1
361,7
362,4
363,4
364,2
365,6
366,0
367,1
368,8
369,1
370,1
371,4
372,2
373,1
374,2
375,3
376,8
377,1
378,3
379,3
380,0
381,1
382,3
383,3
384,2
385,1
386,1
387,5
388,3
389,1
390,2
391,4
392,3
393,3
394,4
395,2
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,3
404,1
405,1
406,1
407,0
408,4
409,2
410,1
411,4
412,2
413,3
414,3
415,4
416,0
417,4
418,3
419,4
420,6
421,6
422,1
423,3
424,1
425,3
426,2
427,1
428,1
429,1
430,2
431,2
432,3
433,1
434,0
435,1
436,2
437,4
438,0
439,1
440,2
441,1
442,0
443,4
444,1
445,1
446,2
447,2
448,1
449,0
450,0
451,2
452,1
453,0
454,2
455,2
456,4
457,3
458,2
459,1
460,0
461,3
462,0
463,0
464,1
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,2
475,1
476,1
477,0
478,1
479,0
480,1
481,2
482,1
483,1
484,0
485,0
486,0
487,2
488,1
489,0
490,1
491,1
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,2
501,0
502,1
503,1
504,1
505,1
506,3
507,1
508,1
509,1
510,4
511,1
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,1
521,0
522,1
523,2
524,1
525,0
526,0
527,0
528,1
529,2
530,0
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,2
539,0
540,0
541,1
542,1
543,2
544,1
545,1
546,0
547,1
548,2
549,1
550,0
551,0
552,0
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,1
564,0
565,0
566,0
567,2
568,0
569,2
570,0
571,0
572,0
573,1
574,1
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,0
583,1
584,0
585,0
586,0
587,1
588,0
589,0
590,1
591,0
592,2
593,0
594,1
595,0
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,0
618,3
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,1
627,0
628,0
629,0
630,2
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,2
646,0
647,0
648,0
649,0
650,1
651,1
652,1
653,2
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,1
677,1
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,1
880,0
881,0
882,0
883,0
