PCS length (L),Number of PCS of Length L
0,0
1,76481286
2,55150862
3,40122698
4,29205856
5,21527565
6,15605067
7,11567416
8,8761079
9,6457364
10,4856533
11,3785697
12,2806307
13,2155778
14,1732739
15,1284630
16,1001917
17,837906
18,620424
19,493262
20,433586
21,318696
22,260149
23,241022
24,175366
25,146426
26,144077
27,103365
28,88021
29,91665
30,64980
31,57148
32,61513
33,43040
34,38581
35,43130
36,30334
37,27646
38,31625
39,21998
40,20022
41,23889
42,16495
43,15076
44,18024
45,12734
46,11606
47,14227
48,9984
49,9240
50,11193
51,7803
52,7260
53,8840
54,6317
55,5841
56,7238
57,5131
58,4883
59,5982
60,4416
61,4005
62,4940
63,3561
64,3292
65,4048
66,3016
67,2864
68,3374
69,2462
70,2410
71,2817
72,2194
73,2124
74,2411
75,1835
76,1746
77,2017
78,1578
79,1576
80,1809
81,1395
82,1339
83,1516
84,1269
85,1168
86,1356
87,1076
88,984
89,1169
90,919
91,879
92,1003
93,843
94,785
95,913
96,749
97,691
98,783
99,633
100,576
101,721
102,555
103,553
104,604
105,501
106,481
107,562
108,439
109,472
110,539
111,447
112,390
113,458
114,333
115,410
116,379
117,350
118,354
119,397
120,328
121,314
122,297
123,260
124,301
125,289
126,261
127,270
128,290
129,259
130,249
131,237
132,209
133,227
134,245
135,191
136,207
137,218
138,201
139,187
140,204
141,174
142,172
143,191
144,171
145,149
146,165
147,129
148,155
149,129
150,138
151,130
152,160
153,148
154,120
155,150
156,146
157,105
158,121
159,119
160,122
161,113
162,86
163,100
164,120
165,80
166,84
167,98
168,104
169,97
170,104
171,78
172,96
173,96
174,85
175,80
176,65
177,75
178,70
179,81
180,82
181,54
182,58
183,66
184,64
185,57
186,79
187,57
188,58
189,53
190,73
191,47
192,57
193,45
194,56
195,54
196,57
197,57
198,57
199,42
200,43
201,51
202,44
203,40
204,51
205,47
206,42
207,34
208,39
209,48
210,38
211,37
212,51
213,47
214,32
215,47
216,36
217,40
218,30
219,35
220,28
221,30
222,35
223,39
224,31
225,34
226,26
227,23
228,34
229,28
230,23
231,17
232,26
233,26
234,23
235,29
236,28
237,15
238,24
239,34
240,21
241,26
242,19
243,23
244,15
245,22
246,18
247,20
248,24
249,18
250,23
251,25
252,26
253,20
254,14
255,16
256,15
257,18
258,18
259,13
260,25
261,23
262,18
263,17
264,25
265,11
266,14
267,12
268,12
269,17
270,18
271,13
272,13
273,11
274,9
275,22
276,6
277,12
278,12
279,10
280,12
281,17
282,10
283,13
284,14
285,12
286,13
287,11
288,9
289,6
290,20
291,12
292,13
293,10
294,10
295,12
296,9
297,8
298,10
299,10
300,6
301,9
302,16
303,8
304,5
305,12
306,14
307,11
308,7
309,6
310,6
311,9
312,6
313,8
314,9
315,12
316,5
317,5
318,12
319,6
320,12
321,7
322,5
323,10
324,15
325,10
326,4
327,13
328,6
329,10
330,7
331,4
332,3
333,4
334,5
335,7
336,5
337,9
338,6
339,3
340,7
341,5
342,3
343,5
344,0
345,5
346,4
347,4
348,6
349,4
350,4
351,3
352,8
353,5
354,4
355,6
356,1
357,4
358,1
359,3
360,4
361,8
362,4
363,7
364,9
365,5
366,3
367,1
368,3
369,2
370,2
371,4
372,3
373,2
374,3
375,3
376,6
377,5
378,3
379,5
380,2
381,6
382,5
383,3
384,7
385,2
386,5
387,1
388,4
389,5
390,2
391,2
392,2
393,5
394,3
395,1
396,5
397,6
398,3
399,1
400,1
401,2
402,2
403,3
404,1
405,2
406,3
407,3
408,2
409,1
410,2
411,2
412,1
413,4
414,2
415,0
416,1
417,0
418,1
419,1
420,0
421,2
422,0
423,1
424,0
425,4
426,1
427,1
428,0
429,2
430,1
431,5
432,0
433,2
434,5
435,1
436,0
437,2
438,2
439,1
440,3
441,1
442,2
443,0
444,3
445,2
446,2
447,2
448,0
449,1
450,3
451,1
452,2
453,3
454,3
455,1
456,3
457,1
458,1
459,0
460,0
461,3
462,2
463,0
464,4
465,1
466,0
467,2
468,1
469,1
470,1
471,2
472,0
473,3
474,2
475,0
476,0
477,1
478,1
479,0
480,1
481,1
482,0
483,1
484,0
485,2
486,0
487,2
488,2
489,1
490,0
491,0
492,1
493,0
494,1
495,1
496,0
497,1
498,2
499,2
500,1
501,0
502,0
503,1
504,2
505,1
506,2
507,2
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,0
527,0
528,1
529,0
530,1
531,1
532,1
533,2
534,1
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,1
543,1
544,0
545,0
546,0
547,1
548,0
549,0
550,1
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,0
563,1
564,1
565,2
566,0
567,0
568,0
569,1
570,1
571,3
572,1
573,1
574,0
575,0
576,2
577,1
578,0
579,0
580,2
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,1
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,1
603,0
604,0
605,1
606,1
607,0
608,1
609,1
610,1
611,2
612,1
613,0
614,1
615,1
616,1
617,2
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,0
626,1
627,0
628,0
629,0
630,2
631,0
632,0
633,0
634,3
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,1
672,0
673,0
674,0
675,1
676,0
677,0
678,1
679,0
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,1
737,0
738,1
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,3
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,0
1019,0
1020,0
