PCS length (L),Number of PCS of Length L
0,0
1,9492924
2,6490815
3,3201866
4,1860084
5,1502332
6,666613
7,435364
8,473983
9,199829
10,146198
11,195324
12,80655
13,62651
14,92334
15,38876
16,31874
17,48198
18,20966
19,17526
20,26527
21,12204
22,10401
23,15489
24,7283
25,6537
26,9257
27,4786
28,4393
29,5807
30,3397
31,3026
32,4001
33,2410
34,2187
35,2762
36,1789
37,1664
38,1948
39,1324
40,1135
41,1407
42,1015
43,962
44,1081
45,795
46,779
47,861
48,645
49,627
50,716
51,622
52,500
53,559
54,452
55,412
56,445
57,332
58,372
59,356
60,323
61,314
62,301
63,279
64,227
65,258
66,228
67,221
68,207
69,197
70,223
71,187
72,157
73,148
74,156
75,141
76,133
77,133
78,143
79,117
80,123
81,108
82,106
83,114
84,100
85,100
86,109
87,85
88,93
89,73
90,65
91,66
92,83
93,72
94,70
95,84
96,68
97,54
98,69
99,47
100,44
101,67
102,51
103,50
104,38
105,40
106,61
107,48
108,43
109,45
110,32
111,35
112,38
113,41
114,30
115,41
116,43
117,24
118,42
119,35
120,24
121,31
122,37
123,22
124,21
125,19
126,21
127,31
128,25
129,23
130,17
131,20
132,20
133,25
134,26
135,22
136,13
137,20
138,24
139,18
140,19
141,21
142,12
143,20
144,17
145,17
146,10
147,15
148,15
149,10
150,13
151,10
152,14
153,14
154,16
155,12
156,12
157,14
158,5
159,9
160,7
161,8
162,6
163,10
164,6
165,6
166,9
167,8
168,6
169,9
170,7
171,6
172,2
173,7
174,9
175,2
176,3
177,6
178,3
179,10
180,3
181,3
182,5
183,4
184,6
185,8
186,3
187,6
188,7
189,7
190,4
191,6
192,6
193,8
194,4
195,2
196,4
197,3
198,6
199,4
200,8
201,5
202,5
203,2
204,2
205,3
206,1
207,3
208,6
209,1
210,2
211,2
212,4
213,2
214,2
215,5
216,3
217,0
218,4
219,4
220,2
221,3
222,3
223,4
224,1
225,2
226,2
227,3
228,2
229,1
230,4
231,2
232,4
233,0
234,4
235,1
236,1
237,1
238,1
239,3
240,2
241,1
242,0
243,3
244,1
245,2
246,1
247,2
248,5
249,0
250,1
251,1
252,2
253,3
254,1
255,0
256,0
257,1
258,2
259,0
260,4
261,1
262,3
263,0
264,1
265,1
266,0
267,2
268,0
269,0
270,2
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,0
281,0
282,2
283,1
284,0
285,1
286,0
287,0
288,1
289,0
290,1
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,0
306,0
307,0
308,2
309,1
310,1
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,2
333,1
334,0
335,2
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,1
378,1
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,0
