PCS length (L),Number of PCS of Length L
0,0
1,5811350
2,5119722
3,4629547
4,4242030
5,3913336
6,3580116
7,3315171
8,3092844
9,2849780
10,2638140
11,2466993
12,2276952
13,2125545
14,2002783
15,1853698
16,1723330
17,1619708
18,1498968
19,1400781
20,1319318
21,1221881
22,1142757
23,1078956
24,999144
25,937362
26,884306
27,820088
28,767420
29,726546
30,674020
31,631381
32,598647
33,555024
34,521936
35,494225
36,459527
37,429837
38,408539
39,378808
40,355502
41,339534
42,314841
43,296267
44,283186
45,262185
46,246363
47,236727
48,217851
49,205665
50,197597
51,182327
52,171548
53,165406
54,152360
55,143854
56,138289
57,128298
58,120960
59,116430
60,107270
61,101825
62,98283
63,91140
64,85662
65,83175
66,76501
67,72583
68,70468
69,64532
70,60863
71,59651
72,54778
73,52217
74,50938
75,47045
76,43853
77,43228
78,39576
79,38042
80,37199
81,34116
82,32241
83,31964
84,28955
85,27794
86,27663
87,25307
88,24232
89,23892
90,21982
91,20690
92,20592
93,18820
94,17848
95,17811
96,16449
97,15497
98,15677
99,14074
100,13397
101,13590
102,12290
103,11959
104,12069
105,10673
106,10191
107,10454
108,9560
109,9289
110,9081
111,8150
112,7809
113,8216
114,7303
115,7096
116,7218
117,6553
118,6256
119,6221
120,5838
121,5508
122,5707
123,5096
124,4819
125,5000
126,4645
127,4487
128,4475
129,4162
130,4030
131,4147
132,3665
133,3567
134,3713
135,3356
136,3099
137,3280
138,2996
139,2965
140,2929
141,2757
142,2561
143,2668
144,2425
145,2258
146,2457
147,2195
148,2179
149,2303
150,1971
151,1933
152,2056
153,1847
154,1764
155,1835
156,1652
157,1688
158,1668
159,1508
160,1483
161,1598
162,1380
163,1358
164,1473
165,1296
166,1172
167,1268
168,1202
169,1161
170,1223
171,1118
172,1114
173,1147
174,983
175,1006
176,995
177,924
178,892
179,969
180,867
181,824
182,860
183,814
184,765
185,830
186,745
187,748
188,738
189,704
190,696
191,694
192,645
193,637
194,641
195,588
196,590
197,602
198,542
199,537
200,574
201,479
202,488
203,508
204,454
205,446
206,509
207,434
208,459
209,474
210,418
211,417
212,418
213,410
214,392
215,412
216,366
217,350
218,409
219,365
220,328
221,357
222,304
223,309
224,325
225,279
226,284
227,327
228,299
229,264
230,299
231,268
232,240
233,254
234,267
235,270
236,264
237,247
238,265
239,256
240,222
241,219
242,223
243,219
244,192
245,215
246,201
247,204
248,212
249,186
250,181
251,189
252,176
253,170
254,162
255,161
256,169
257,147
258,151
259,162
260,155
261,152
262,148
263,153
264,126
265,125
266,122
267,139
268,126
269,139
270,128
271,117
272,123
273,122
274,116
275,100
276,92
277,113
278,119
279,112
280,96
281,110
282,93
283,98
284,100
285,98
286,91
287,97
288,85
289,96
290,90
291,87
292,101
293,84
294,57
295,70
296,82
297,72
298,78
299,95
300,95
301,65
302,73
303,63
304,74
305,63
306,55
307,77
308,86
309,71
310,59
311,66
312,83
313,54
314,58
315,53
316,53
317,59
318,42
319,56
320,63
321,56
322,54
323,41
324,48
325,53
326,49
327,46
328,58
329,60
330,35
331,41
332,61
333,44
334,30
335,51
336,41
337,43
338,45
339,50
340,42
341,43
342,45
343,26
344,49
345,29
346,36
347,38
348,23
349,41
350,37
351,30
352,36
353,31
354,26
355,31
356,39
357,29
358,32
359,30
360,28
361,27
362,34
363,30
364,22
365,29
366,25
367,25
368,29
369,32
370,21
371,38
372,24
373,22
374,22
375,29
376,24
377,29
378,20
379,27
380,23
381,29
382,17
383,26
384,23
385,23
386,26
387,23
388,18
389,24
390,20
391,25
392,13
393,34
394,14
395,25
396,27
397,22
398,17
399,17
400,24
401,18
402,11
403,20
404,19
405,12
406,28
407,19
408,16
409,17
410,21
411,18
412,19
413,9
414,15
415,15
416,15
417,18
418,18
419,17
420,11
421,16
422,14
423,11
424,10
425,9
426,14
427,12
428,17
429,6
430,11
431,17
432,18
433,14
434,8
435,12
436,8
437,8
438,12
439,13
440,9
441,13
442,7
443,10
444,11
445,10
446,14
447,6
448,12
449,6
450,14
451,11
452,8
453,8
454,10
455,9
456,13
457,8
458,14
459,9
460,10
461,6
462,7
463,11
