PCS length (L),Number of PCS of Length L
0,0
1,5379912
2,4825828
3,4445296
4,4124368
5,3835957
6,3532741
7,3281965
8,3070674
9,2831004
10,2625858
11,2455863
12,2267803
13,2116425
14,1991205
15,1841553
16,1713837
17,1609186
18,1488022
19,1388218
20,1306786
21,1208959
22,1131288
23,1066733
24,987559
25,925332
26,871833
27,808052
28,755128
29,713792
30,661918
31,619126
32,586654
33,543824
34,509775
35,483646
36,448884
37,419324
38,399208
39,369691
40,346879
41,330882
42,306822
43,287786
44,275428
45,255052
46,239055
47,229587
48,212367
49,199296
50,191388
51,176698
52,165654
53,160163
54,147310
55,139041
56,133958
57,123902
58,116448
59,112160
60,103367
61,97838
62,94847
63,87489
64,82363
65,79742
66,73538
67,69508
68,67980
69,61925
70,58563
71,57368
72,52068
73,50106
74,48976
75,45191
76,41780
77,41506
78,37966
79,36405
80,35395
81,32679
82,30618
83,30515
84,27563
85,26629
86,26375
87,24274
88,22961
89,22719
90,20823
91,19845
92,19667
93,17903
94,16968
95,17122
96,15832
97,14792
98,14977
99,13457
100,12730
101,12882
102,11758
103,11432
104,11434
105,10064
106,9689
107,9913
108,9083
109,8734
110,8569
111,7825
112,7420
113,7799
114,6965
115,6591
116,6806
117,6317
118,5991
119,5970
120,5456
121,5313
122,5370
123,4813
124,4581
125,4684
126,4434
127,4171
128,4350
129,3883
130,3835
131,3890
132,3455
133,3394
134,3503
135,3186
136,2941
137,3053
138,2866
139,2829
140,2808
141,2635
142,2459
143,2491
144,2343
145,2213
146,2323
147,2074
148,2100
149,2183
150,1919
151,1813
152,2027
153,1734
154,1672
155,1749
156,1567
157,1571
158,1649
159,1435
160,1415
161,1476
162,1320
163,1281
164,1379
165,1226
166,1173
167,1215
168,1121
169,1126
170,1230
171,1059
172,1033
173,1088
174,935
175,921
176,982
177,850
178,833
179,949
180,826
181,803
182,829
183,781
184,735
185,769
186,695
187,681
188,719
189,661
190,657
191,672
192,601
193,608
194,597
195,573
196,525
197,587
198,533
199,520
200,549
201,458
202,464
203,530
204,440
205,433
206,459
207,400
208,454
209,444
210,396
