PCS length (L),Number of PCS of Length L
0,0
1,71227112
2,50472485
3,35732572
4,25325312
5,18209145
6,12784442
7,9211309
8,6827809
9,4866940
10,3581028
11,2756633
12,1980799
13,1496138
14,1204703
15,866482
16,667227
17,568963
18,406642
19,323883
20,293521
21,207918
22,169621
23,165347
24,115776
25,97655
26,100921
27,69052
28,59465
29,65736
30,44780
31,39138
32,45315
33,30397
34,27229
35,31872
36,21498
37,19330
38,23730
39,15806
40,14716
41,17688
42,12096
43,10777
44,13620
45,9215
46,8426
47,10366
48,7352
49,6719
50,8364
51,5913
52,5381
53,6522
54,4615
55,4383
56,5315
57,3612
58,3444
59,4449
60,3152
61,2985
62,3586
63,2665
64,2402
65,2990
66,2103
67,2139
68,2525
69,1780
70,1764
71,2195
72,1548
73,1599
74,1832
75,1376
76,1356
77,1489
78,1187
79,1094
80,1331
81,979
82,964
83,1188
84,906
85,865
86,996
87,775
88,749
89,807
90,737
91,651
92,753
93,596
94,566
95,634
96,558
97,505
98,544
99,445
100,463
101,506
102,417
103,464
104,478
105,407
106,361
107,415
108,348
109,364
110,365
111,322
112,316
113,366
114,276
115,286
116,290
117,238
118,282
119,250
120,224
121,237
122,271
123,244
124,222
125,227
126,223
127,210
128,226
129,196
130,205
131,199
132,168
133,156
134,164
135,145
136,138
137,152
138,139
139,149
140,146
141,126
142,110
143,142
144,132
145,99
146,137
147,126
148,118
149,126
150,106
151,97
152,133
153,79
154,90
155,126
156,97
157,89
158,91
159,76
160,74
161,91
162,82
163,69
164,74
165,85
166,72
167,73
168,67
169,72
170,69
171,60
172,62
173,67
174,76
175,74
176,65
177,59
178,43
179,52
180,67
181,59
182,55
183,54
184,55
185,47
186,58
187,54
188,47
189,62
190,48
191,47
192,37
193,35
194,37
195,38
196,43
197,43
198,36
199,38
200,41
201,31
202,28
203,37
204,37
205,31
206,46
207,26
208,34
209,36
210,31
211,28
212,35
213,32
214,27
215,28
216,32
217,35
218,27
219,25
220,22
221,27
222,24
223,28
224,22
225,14
226,27
227,23
228,30
229,24
230,24
231,20
232,28
233,16
234,20
235,13
236,29
237,15
238,18
239,24
240,22
241,16
242,14
243,20
244,12
245,14
246,3
247,12
248,24
249,14
250,16
251,18
252,21
253,11
254,14
255,12
256,19
257,12
258,13
259,15
260,22
261,17
262,6
263,11
264,13
265,10
266,11
267,14
268,16
269,12
270,5
271,10
272,7
273,13
274,5
275,15
276,9
277,14
278,12
279,11
280,15
281,8
282,13
283,11
284,10
285,9
286,11
287,10
288,9
289,6
290,11
291,9
292,9
293,10
294,7
295,8
296,7
297,7
298,15
299,9
300,7
301,8
302,13
303,9
304,7
305,3
306,5
307,4
308,7
309,12
310,7
311,10
312,10
313,7
314,6
315,1
316,7
317,8
318,8
319,5
320,10
321,6
322,4
323,11
324,6
325,5
