PCS length (L),Number of PCS of Length L
0,0
1,10867486
2,9636864
3,9082325
4,8302714
5,7672788
6,7103623
7,6604791
8,6130057
9,5652151
10,5231803
11,4876611
12,4498279
13,4213410
14,3953025
15,3690132
16,3428544
17,3188588
18,2957179
19,2763765
20,2599612
21,2425308
22,2268312
23,2122398
24,1962166
25,1839193
26,1731136
27,1612737
28,1505398
29,1414994
30,1322844
31,1241024
32,1159310
33,1075046
34,1005117
35,950510
36,888499
37,832076
38,787054
39,730206
40,684676
41,647520
42,602980
43,567205
44,537005
45,499343
46,468096
47,444077
48,412447
49,388716
50,369869
51,342596
52,322546
53,307873
54,285355
55,267775
56,255844
57,238517
58,223833
59,214201
60,198545
61,188050
62,179220
63,166024
64,156559
65,149044
66,138383
67,131499
68,125679
69,116395
70,109961
71,105730
72,98027
73,92871
74,89616
75,83405
76,77778
77,75473
78,69913
79,66437
80,63844
81,59497
82,55651
83,54353
84,50091
85,47923
86,46681
87,43188
88,40809
89,39496
90,36638
91,34614
92,33898
93,31109
94,29771
95,28969
96,27227
97,25343
98,24992
99,22903
100,21645
101,21458
102,19733
103,18956
104,18732
105,16793
106,16139
107,16032
108,14717
109,14147
110,13783
111,12775
112,12025
113,12244
114,11074
115,10627
116,10414
117,9785
118,9309
119,9217
120,8589
121,8082
122,8113
123,7379
124,7084
125,7103
126,6714
127,6254
128,6318
129,5925
130,5631
131,5649
132,5153
133,4888
134,5023
135,4610
136,4220
137,4365
138,4102
139,4055
140,3936
141,3619
142,3412
143,3477
144,3253
145,3103
146,3206
147,2839
148,2843
149,2921
150,2679
151,2502
152,2645
153,2387
154,2211
155,2314
156,2051
157,2101
158,2092
159,1924
160,1877
161,1923
162,1700
163,1661
164,1742
165,1571
166,1500
167,1557
168,1474
169,1482
170,1486
171,1323
172,1342
173,1372
174,1239
175,1173
176,1193
177,1124
178,1069
179,1128
180,1018
181,983
182,1047
183,954
184,890
185,953
186,867
187,891
188,866
189,841
190,781
191,829
192,743
193,728
194,744
195,671
196,677
197,682
198,624
199,650
200,643
201,557
202,566
203,620
204,557
205,514
206,563
207,505
208,522
209,525
210,454
211,488
212,467
213,449
214,437
215,483
216,409
217,371
218,451
219,380
220,352
221,397
222,366
223,357
224,371
225,329
226,349
227,355
228,307
229,307
230,333
231,286
232,265
233,306
234,298
235,292
236,295
237,271
238,295
239,304
240,241
241,229
242,239
243,260
244,214
245,242
246,222
247,250
248,250
249,208
250,189
251,200
252,202
253,201
254,183
255,168
256,190
257,193
258,172
259,174
260,192
261,157
262,172
263,174
264,144
265,135
266,135
267,159
268,154
269,171
270,134
271,114
272,141
273,124
274,128
275,115
276,117
277,123
278,119
279,114
280,115
281,127
282,100
283,108
284,112
285,113
286,99
287,112
288,89
289,107
290,101
291,83
292,102
293,96
294,81
295,70
296,86
297,94
298,78
299,102
300,84
301,72
302,79
303,73
304,78
305,82
306,76
307,86
308,106
309,65
310,67
311,82
312,85
313,68
314,75
315,60
316,57
317,67
318,49
319,67
320,63
321,59
322,61
323,52
324,63
325,50
326,58
327,50
328,72
329,67
330,35
331,50
332,66
333,48
334,39
335,52
336,40
337,47
338,50
339,56
340,46
341,56
342,45
343,27
344,56
345,38
346,37
347,41
348,33
349,50
350,38
351,29
352,37
353,35
354,26
355,31
356,36
357,33
358,35
359,36
360,27
361,27
362,36
363,30
364,24
365,35
366,23
367,35
368,33
369,35
370,26
371,42
372,21
373,28
374,26
375,26
376,25
377,26
378,35
379,27
380,29
381,23
382,23
383,37
384,33
385,29
386,31
387,29
388,25
389,28
390,18
391,28
392,19
393,34
394,22
395,21
396,26
397,23
398,22
399,28
