PCS length (L),Number of PCS of Length L
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,10
101,12
102,17
103,15
104,21
105,17
106,18
107,20
108,23
109,19
110,28
111,23
112,32
113,24
114,20
115,31
116,28
117,33
118,32
119,23
120,35
121,19
122,36
123,20
124,31
125,25
126,24
127,34
128,33
129,22
130,33
131,31
132,29
133,39
134,29
135,30
136,28
137,31
138,31
139,20
140,44
141,34
142,33
143,29
144,26
145,28
146,26
147,29
148,25
149,35
150,23
151,31
152,30
153,27
154,26
155,27
156,26
157,31
158,26
159,32
160,25
161,22
162,30
163,23
164,32
165,21
166,30
167,28
168,28
169,26
170,24
171,31
172,29
173,24
174,26
175,21
176,19
177,20
178,16
179,22
180,20
181,14
182,16
183,14
184,22
185,23
186,20
187,24
188,16
189,29
190,30
191,17
192,31
193,82
194,194
195,637
196,2201
197,7833
198,27289
199,87283
200,160985
201,221405
202,266880
203,317733
204,359787
205,398050
206,441347
207,472468
208,504223
209,542581
210,572119
211,594955
212,617290
213,633277
214,655308
215,673407
216,687361
217,697130
218,715712
219,722198
220,726796
221,731215
222,732517
223,740777
224,748583
225,756335
226,760224
227,766586
228,765357
229,764330
230,767114
231,762099
232,758214
233,757630
234,750290
235,744858
236,746226
237,744156
238,738117
239,735870
240,732951
241,725959
242,725486
243,718707
244,710204
245,711090
246,700832
247,692638
248,683210
249,678446
250,672517
251,673946
252,669479
253,660790
254,652204
255,649715
256,640803
257,632080
258,629845
259,621909
260,612577
261,605274
262,596408
263,590883
264,586463
265,579120
266,572567
267,568356
268,562852
269,556615
270,552665
271,545564
272,537027
273,532741
274,523599
275,514457
276,507111
277,502425
278,496745
279,491084
280,482578
281,475307
282,472012
283,465929
284,457039
285,452742
286,445596
287,440528
288,436270
289,431982
290,422052
291,417138
292,411731
293,405837
294,399157
295,392172
296,385730
297,381364
298,374111
299,366580
300,362935
301,357721
302,351198
303,345690
304,339573
305,333862
306,329355
307,325218
308,321192
309,319169
310,314121
311,309640
312,306543
313,300504
314,296971
315,294377
316,290033
317,283525
318,280811
319,276452
320,271694
321,268990
322,266253
323,262378
324,260644
325,254916
326,251205
327,248424
328,245001
329,239922
330,234977
331,232601
332,228895
333,226522
334,223863
335,220557
336,217320
337,214642
338,212751
339,208140
340,204981
341,202563
342,198664
343,194758
344,190400
345,187904
346,186381
347,184094
348,181513
349,179133
350,176909
351,175670
352,171892
353,168648
354,164460
355,162069
356,160370
357,157678
358,154872
359,152168
360,150439
361,149316
362,146514
363,144510
364,143267
365,141136
366,138844
367,136361
368,134819
369,133237
370,131793
371,130452
372,128357
373,126168
374,124809
375,123906
376,121242
377,120434
378,118651
379,116809
380,115753
381,113900
382,112187
383,110916
384,109885
385,107818
386,105968
387,104242
388,103065
389,101916
390,100137
391,98455
392,96774
393,95708
394,94777
395,94409
396,93547
397,92715
398,91556
399,90496
400,89835
401,89421
402,87548
403,86674
404,85683
405,84362
406,83396
407,82185
408,81049
409,80223
410,80616
411,78923
412,77524
413,76583
414,76189
415,74262
416,73645
417,71798
418,71064
419,70336
420,69646
421,69090
422,68312
423,67890
424,67701
425,67258
426,66819
427,65334
428,65345
429,64198
430,63547
431,62558
432,60634
433,59231
434,58772
435,58141
436,57626
437,56326
438,55783
439,54523
440,54596
441,53249
442,52186
443,52607
444,51239
445,50579
446,50593
447,49899
448,48918
449,47765
450,47173
451,46446
452,45626
453,44794
454,44046
455,43626
456,43186
457,42335
458,41774
459,41133
460,40794
461,40841
462,40803
