PCS length (L),Number of PCS of Length L
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,142686
21,131775
22,123935
23,119165
24,109732
25,103736
26,99986
27,92002
28,86532
29,83453
30,77228
31,72634
32,70254
33,64472
34,61140
35,58993
36,54466
37,51706
38,50005
39,45698
40,43760
41,42236
42,39065
43,36923
44,36463
45,33190
46,31228
47,30697
48,28088
49,26599
50,26252
51,23929
52,22679
53,22229
54,20185
55,19303
56,19130
57,17543
58,16551
59,16409
60,14984
61,14442
62,14363
63,12952
64,12317
65,12426
66,11115
67,10555
68,10748
69,9673
70,8937
71,9351
72,8398
73,7942
74,8179
75,7143
76,6886
77,7150
78,6260
79,6109
80,6192
81,5499
82,5257
83,5396
84,4853
85,4780
86,4865
87,4280
88,4279
89,4355
90,3882
91,3670
92,3905
93,3406
94,3156
95,3288
96,3000
97,2945
98,3147
99,2671
100,2630
101,2713
102,2411
103,2391
104,2574
105,2075
106,2031
107,2214
108,2007
109,1867
110,1999
111,1741
112,1733
113,1878
114,1565
115,1539
116,1609
117,1515
118,1424
119,1538
120,1421
121,1269
122,1415
123,1242
124,1183
125,1311
126,1200
127,1127
128,1251
129,1098
130,1008
131,1168
132,992
133,1042
134,1174
135,1000
136,931
137,1059
138,1025
139,1100
140,1157
141,1085
142,1069
143,1113
144,1018
145,971
146,1109
147,981
148,991
149,1069
150,972
151,927
152,1035
153,886
154,876
155,936
156,810
157,853
158,861
159,798
160,756
161,825
162,702
163,697
164,814
165,679
166,645
167,680
168,681
169,673
170,723
171,599
172,604
173,650
174,583
175,570
176,551
177,522
178,504
179,581
180,481
181,473
182,526
183,462
184,436
185,478
186,441
187,432
188,462
189,450
190,424
191,450
192,402
193,365
194,373
195,374
196,354
197,357
198,322
199,338
200,364
201,311
202,295
203,338
204,310
205,302
206,307
207,276
208,293
209,313
210,266
211,260
212,262
213,255
214,257
215,275
216,237
217,227
218,290
219,229
220,203
221,226
222,194
223,194
224,224
225,184
226,181
227,221
228,184
229,176
230,223
231,171
232,162
233,160
234,183
235,174
236,192
237,152
238,175
239,181
240,163
241,158
242,153
243,151
244,128
245,178
246,132
247,145
248,152
249,127
250,132
251,125
252,127
253,124
254,115
255,107
256,122
257,109
258,116
259,118
260,122
261,96
262,117
263,100
264,91
265,85
266,84
267,110
268,101
269,110
270,93
271,73
272,94
273,87
274,93
275,70
276,77
277,88
278,88
279,79
280,74
281,81
282,72
283,75
284,76
285,80
286,50
287,83
288,68
289,72
290,76
291,61
292,74
293,59
294,45
295,49
296,54
297,69
298,60
299,71
300,59
301,47
302,57
303,52
304,60
305,51
306,45
307,64
308,65
309,51
310,44
311,57
312,56
313,45
314,39
315,40
316,41
317,41
318,31
319,47
320,50
321,44
322,45
323,36
324,43
325,37
326,41
327,31
328,49
329,45
330,29
331,37
332,45
333,32
334,28
335,38
336,30
337,28
338,44
339,42
340,34
341,41
342,34
343,17
344,34
345,22
346,21
347,29
348,23
349,38
350,30
351,22
352,34
353,28
354,18
355,27
356,27
357,24
358,20
359,28
360,16
361,22
362,32
363,25
364,14
365,27
366,18
367,25
368,27
369,22
370,19
371,27
372,19
373,17
374,21
375,14
376,19
377,23
378,22
379,18
380,17
381,19
382,14
383,29
384,20
385,23
386,29
387,20
388,17
389,19
390,12
391,22
392,10
393,26
394,15
395,21
396,22
397,17
398,16
399,15
400,18
401,16
402,8
403,20
404,15
405,9
406,14
407,19
408,12
409,18
410,19
411,10
412,19
413,10
414,9
415,13
416,8
417,12
418,10
419,14
420,11
421,13
422,9
423,12
424,11
425,7
426,16
427,10
428,15
429,5
430,11
431,11
432,14
433,10
434,9
435,11
436,7
437,7
438,8
439,12
440,9
441,12
442,10
443,8
444,8
445,7
446,12
447,5
448,11
449,6
450,11
451,8
452,5
453,7
454,9
455,9
456,10
457,7
458,8
459,9
460,10
461,5
462,7
463,7
464,10
465,10
466,10
467,7
468,7
469,5
470,5
471,6
472,8
473,8
474,4
475,3
476,3
477,8
478,6
479,8
480,5
481,5
482,7
483,2
484,5
485,4
486,7
487,10
488,4
489,3
490,4
491,5
492,8
493,4
494,9
495,8
496,6
497,8
