PCS length (L),Number of PCS of Length L
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,494020
11,452938
12,398460
13,359016
14,332317
15,292564
16,262809
17,244098
18,214959
19,193410
20,180955
21,158047
22,143897
23,135234
24,117937
25,106055
26,101849
27,88074
28,80789
29,76950
30,67055
31,60924
32,59183
33,51016
34,47025
35,46035
36,39038
37,35889
38,35421
39,30273
40,27764
41,28048
42,23544
43,21916
44,22392
45,18601
46,17040
47,17871
48,14813
49,13722
50,14282
51,12025
52,11062
53,11673
54,9649
55,9027
56,9761
57,7842
58,7533
59,8178
60,6547
61,6300
62,6858
63,5504
64,5229
65,5847
66,4608
67,4479
68,4952
69,3943
70,3711
71,4339
72,3440
73,3299
74,3804
75,3156
76,3082
77,3411
78,2854
79,3049
80,3550
81,2917
82,2903
83,3341
84,2683
85,2697
86,2873
87,2476
88,2328
89,2784
90,2168
91,2105
92,2505
93,1972
94,1784
95,2182
96,1647
97,1598
98,1990
99,1484
100,1559
101,1780
102,1308
103,1344
104,1555
105,1305
106,1198
107,1433
108,1106
109,1083
110,1292
111,1029
112,935
113,1151
114,962
115,881
116,1006
117,854
118,807
119,923
120,773
121,755
122,837
123,742
124,677
125,788
126,668
127,637
128,739
129,576
130,547
131,661
132,546
133,499
134,637
135,533
136,485
137,546
138,484
139,467
140,503
141,442
142,437
143,457
144,413
145,387
146,433
147,370
148,359
149,448
150,311
151,333
152,386
153,309
154,341
155,350
156,259
157,293
158,299
159,273
160,248
161,301
162,226
163,241
164,262
165,229
166,212
167,222
168,218
169,193
170,216
171,210
172,220
173,228
174,207
175,195
176,211
177,172
178,192
179,183
180,172
181,159
182,190
183,161
184,179
185,162
186,172
187,146
188,169
189,161
190,126
191,159
192,140
193,121
194,137
195,116
196,123
197,137
198,116
199,116
200,92
201,111
202,114
203,93
204,94
205,107
206,100
207,83
208,69
209,107
210,94
211,94
212,92
213,95
214,87
215,83
216,85
217,69
218,81
219,77
220,75
221,85
222,70
223,62
224,61
225,75
226,71
227,77
228,76
229,63
230,65
231,59
232,64
233,63
234,43
235,65
236,58
237,48
238,62
239,77
240,51
241,51
242,68
243,58
244,45
245,56
246,44
247,59
248,50
249,37
250,43
251,54
252,49
253,42
254,46
255,39
256,43
257,43
258,37
259,54
260,36
261,32
262,34
263,38
264,39
265,41
266,41
267,42
268,36
269,31
270,30
271,36
272,31
273,44
274,22
275,33
276,29
277,32
278,36
279,44
280,28
281,33
282,40
283,30
284,31
285,27
286,30
287,22
288,29
289,23
290,36
291,27
292,26
293,20
294,30
295,28
296,23
297,19
298,27
299,22
300,20
301,16
302,21
303,13
304,19
305,20
306,26
307,20
308,19
309,17
310,20
311,17
312,16
313,18
314,17
315,21
316,12
317,16
318,11
319,14
320,19
321,10
322,16
323,26
324,20
325,16
326,10
327,18
328,14
329,10
330,17
331,15
332,16
333,11
334,12
335,23
336,10
337,13
338,12
339,21
340,19
341,11
342,19
343,16
344,16
345,10
346,19
347,14
348,19
349,16
350,9
351,11
352,11
353,3
354,2
355,11
356,16
357,8
358,9
359,8
360,6
361,15
362,8
363,10
364,6
365,10
366,8
367,10
368,11
369,9
370,9
371,9
372,5
373,8
374,10
375,9
376,13
377,11
378,8
379,3
380,4
381,7
382,5
383,6
384,5
385,5
386,7
387,6
388,7
389,10
390,4
391,8
392,7
393,5
394,4
395,7
396,4
397,9
398,5
399,6
400,6
401,6
402,4
403,8
404,2
405,7
406,5
407,8
408,10
409,3
410,4
411,1
412,11
413,4
414,4
415,3
416,4
417,2
418,9
419,7
420,3
421,7
422,5
423,1
424,6
425,4
426,3
427,8
428,4
429,4
430,4
431,5
432,3
433,3
434,5
435,5
436,2
437,8
438,3
439,5
440,3
441,2
442,6
443,2
444,0
445,5
446,2
447,5
448,3
449,1
450,1
451,4
452,4
453,3
454,3
455,3
456,6
457,1
458,4
459,4
460,4
461,5
462,5
463,4
464,3
465,3
466,4
467,3
468,2
469,2
470,4
471,4
472,3
473,2
474,1
475,3
476,1
477,4
478,5
479,3
480,3
481,2
482,1
483,1
484,0
485,7
486,3
487,4
488,3
489,1
490,2
491,4
492,0
493,1
494,0
495,3
496,0
497,1
498,3
499,2
500,4
501,1
502,2
