PCS length (L),Number of PCS of Length L
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,6033
21,4242
22,3781
23,3948
24,2936
25,2611
26,2815
27,2090
28,1914
29,2029
30,1527
31,1442
32,1568
33,1209
34,1060
35,1226
36,999
37,819
38,1019
39,772
40,716
41,837
42,611
43,528
44,641
45,498
46,456
47,519
48,411
49,391
50,449
51,351
52,353
53,341
54,295
55,256
56,308
57,260
58,228
59,278
60,233
61,229
62,239
63,211
64,191
65,204
66,160
67,182
68,161
69,141
70,150
71,142
72,128
73,117
74,118
75,116
76,140
77,128
78,100
79,92
80,106
81,103
82,113
83,82
84,97
85,83
86,82
87,74
88,80
89,80
90,72
91,59
92,62
93,57
94,65
95,70
96,63
97,51
98,62
99,58
100,49
101,56
102,62
103,48
104,67
105,54
106,61
107,55
108,43
109,32
110,49
111,42
112,46
113,39
114,36
115,42
116,40
117,38
118,33
119,35
120,42
121,33
122,29
123,36
124,44
125,37
126,45
127,24
128,29
129,38
130,21
131,34
132,17
133,35
134,26
135,33
136,36
137,37
138,35
139,32
140,36
141,37
142,50
143,33
144,37
145,36
146,41
147,40
148,35
149,29
150,40
151,34
152,43
153,41
154,33
155,26
156,46
157,29
158,38
159,40
160,30
161,23
162,32
163,31
164,32
165,34
166,33
167,31
168,31
169,27
170,32
171,38
172,24
173,25
174,24
175,21
176,23
177,22
178,25
179,21
180,28
181,19
182,26
183,23
184,19
185,19
186,18
187,16
188,22
189,24
190,21
191,10
192,15
193,20
194,17
195,15
196,12
197,9
198,17
199,10
200,11
201,12
202,12
203,12
204,6
205,8
206,10
207,11
208,6
209,15
210,14
211,9
212,13
213,12
214,7
215,11
216,8
217,12
218,6
219,10
220,7
221,8
222,12
223,10
224,13
225,7
226,9
227,8
228,9
229,7
230,4
231,8
232,9
233,7
234,6
235,9
236,4
237,8
238,8
239,3
240,5
241,4
242,4
243,8
244,3
245,4
246,2
247,10
248,6
249,5
250,4
251,4
252,6
253,1
254,0
255,3
256,3
257,6
258,2
259,1
260,1
261,1
262,3
263,4
264,3
265,5
266,3
267,5
268,4
269,6
270,4
271,4
272,7
273,5
274,2
275,5
276,2
277,6
278,6
279,3
280,4
281,1
282,2
283,2
284,4
285,2
286,3
287,0
288,1
289,1
290,4
291,2
292,0
293,2
294,2
295,3
296,6
297,4
298,3
299,3
300,3
301,3
302,3
303,0
304,4
305,1
306,0
307,1
308,3
309,1
310,5
311,5
312,2
313,2
314,1
315,1
316,2
317,1
318,0
319,1
320,2
321,3
322,2
323,4
324,2
325,0
326,1
327,1
328,2
329,1
330,1
331,1
332,2
333,0
334,0
335,2
336,2
337,1
338,2
339,0
340,1
341,1
342,1
343,2
344,4
345,1
346,1
347,2
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,3
357,0
358,1
359,0
360,0
361,1
362,2
363,1
364,4
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,1
375,0
376,2
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,1
389,1
390,0
391,0
392,0
393,2
394,1
395,0
396,0
397,2
398,0
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,0
408,0
409,2
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,2
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,1
459,0
460,0
461,1
462,0
463,1
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,2
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
