chrom,window number,relative entropy
1,1,inf
1,2,inf
1,3,inf
1,4,inf
1,5,inf
1,6,inf
1,7,inf
1,8,inf
1,9,inf
1,10,inf
1,11,inf
1,12,inf
1,13,inf
1,14,inf
1,15,inf
1,16,inf
1,17,inf
1,18,inf
1,19,inf
1,20,inf
1,21,inf
1,22,inf
1,23,inf
1,24,inf
1,25,inf
1,26,inf
1,27,inf
1,28,inf
1,29,inf
1,30,inf
1,31,inf
1,32,inf
1,33,inf
1,34,inf
1,35,inf
1,36,inf
1,37,inf
1,38,inf
1,39,inf
1,40,inf
1,41,inf
1,42,inf
1,43,inf
1,44,inf
1,45,inf
1,46,inf
1,47,inf
1,48,inf
1,49,inf
1,50,inf
1,51,inf
1,52,inf
1,53,inf
1,54,inf
1,55,inf
1,56,inf
1,57,inf
1,58,inf
1,59,inf
1,60,inf
1,61,inf
1,62,inf
1,63,inf
1,64,inf
1,65,inf
1,66,inf
1,67,inf
1,68,inf
1,69,inf
1,70,inf
1,71,inf
1,72,inf
1,73,inf
1,74,inf
1,75,inf
1,76,inf
1,77,inf
1,78,inf
1,79,inf
1,80,inf
1,81,inf
1,82,inf
1,83,inf
1,84,inf
1,85,inf
1,86,inf
1,87,inf
1,88,inf
1,89,inf
1,90,inf
1,91,inf
1,92,inf
1,93,inf
1,94,inf
1,95,inf
1,96,inf
1,97,inf
1,98,inf
1,99,inf
1,100,inf
1,101,inf
1,102,inf
1,103,inf
1,104,inf
1,105,inf
1,106,inf
1,107,inf
1,108,inf
1,109,inf
1,110,inf
1,111,inf
1,112,inf
1,113,inf
1,114,inf
1,115,inf
1,116,inf
1,117,inf
1,118,inf
1,119,inf
1,120,inf
1,121,inf
1,122,inf
1,123,inf
1,124,inf
1,125,inf
1,126,inf
1,127,inf
1,128,inf
1,129,inf
1,130,inf
1,131,inf
1,132,inf
1,133,inf
1,134,inf
1,135,inf
1,136,inf
1,137,inf
1,138,inf
1,139,inf
1,140,inf
1,141,inf
1,142,inf
1,143,inf
1,144,inf
1,145,inf
1,146,inf
1,147,inf
1,148,inf
1,149,inf
1,150,inf
1,151,inf
1,152,inf
1,153,inf
1,154,inf
1,155,inf
1,156,inf
1,157,inf
1,158,inf
1,159,inf
1,160,inf
1,161,inf
1,162,inf
1,163,inf
1,164,inf
1,165,inf
1,166,inf
1,167,inf
1,168,inf
1,169,inf
1,170,inf
1,171,inf
1,172,inf
1,173,inf
1,174,inf
1,175,inf
1,176,inf
1,177,inf
1,178,inf
1,179,inf
1,180,inf
1,181,inf
1,182,inf
1,183,inf
1,184,inf
1,185,inf
1,186,inf
1,187,inf
1,188,inf
1,189,inf
1,190,inf
1,191,inf
1,192,inf
1,193,inf
1,194,inf
1,195,inf
1,196,inf
1,197,inf
1,198,inf
1,199,inf
1,200,inf
1,201,inf
1,202,inf
1,203,inf
1,204,inf
1,205,inf
1,206,inf
1,207,inf
1,208,inf
1,209,inf
1,210,inf
1,211,inf
1,212,inf
1,213,inf
1,214,inf
1,215,inf
1,216,inf
1,217,inf
1,218,inf
1,219,inf
1,220,inf
1,221,inf
1,222,inf
1,223,inf
1,224,inf
1,225,inf
1,226,inf
1,227,inf
1,228,inf
1,229,inf
1,230,inf
1,231,inf
1,232,inf
1,233,inf
1,234,inf
1,235,inf
1,236,inf
1,237,inf
1,238,inf
1,239,inf
1,240,inf
1,241,inf
1,242,inf
1,243,inf
1,244,inf
1,245,inf
1,246,inf
1,247,inf
1,248,inf
1,249,inf
1,250,inf
1,251,inf
1,252,inf
1,253,inf
1,254,inf
1,255,inf
1,256,inf
1,257,inf
1,258,inf
