chrom,start,end
chrY,57150158,57150158
chrY,57151453,57151466
chrY,57151905,57151906
chrY,57153461,57153464
chrY,57153466,57153466
chrY,57153468,57153549
chrY,57153551,57153578
chrY,57153580,57153622
chrY,57153624,57153627
chrY,57153629,57153659
chrY,57153661,57153685
chrY,57153687,57153687
chrY,57153689,57153690
chrY,57153693,57153697
chrY,57153699,57153706
chrY,57153708,57153740
chrY,57153742,57153763
chrY,57153765,57153865
chrY,57153867,57153962
chrY,57153964,57153970
chrY,57153972,57153987
chrY,57153989,57154052
chrY,57154054,57154091
chrY,57154093,57154101
chrY,57154185,57154216
chrY,57154218,57154220
chrY,57154303,57154347
chrY,57154349,57154381
chrY,57154383,57154411
chrY,57154413,57154479
chrY,57154481,57154487
chrY,57155050,57155126
chrY,57155128,57155173
chrY,57155399,57155451
chrY,57155453,57155463
chrY,57163961,57164031
chrY,57164033,57164074
chrY,57164076,57164110
chrY,57164443,57164453
chrY,57164454,57164540
chrY,57164542,57164549
chrY,57164552,57164555
chrY,57164557,57164560
chrY,57164561,57164582
chrY,57164586,57164618
chrY,57164619,57164627
chrY,57164629,57164686
chrY,57164688,57164692
chrY,57164694,57164700
chrY,57164702,57164720
chrY,57164722,57164731
chrY,57164733,57164734
chrY,57164736,57164740
chrY,57165015,57165033
chrY,57165035,57165195
chrY,57165197,57165221
chrY,57165223,57165224
chrY,57165226,57165234
chrY,57165236,57165299
chrY,57165301,57165484
chrY,57165486,57165742
chrY,57165744,57165819
chrY,57165821,57166031
chrY,57166756,57166803
chrY,57166844,57166847
chrY,57166851,57166864
chrY,57166866,57166869
chrY,57166871,57166873
chrY,57166875,57166877
chrY,57167532,57167537
chrY,57170939,57170959
chrY,57170961,57171014
chrY,57171124,57171124
chrY,57171516,57171562
chrY,57171754,57171770
chrY,57171772,57171828
chrY,57171884,57172007
chrY,57172009,57172227
chrY,57172230,57172234
chrY,57172236,57172364
chrY,57172366,57172405
chrY,57172407,57172549
chrY,57172551,57172698
chrY,57172700,57172774
chrY,57172776,57172800
chrY,57172869,57172882
chrY,57172884,57172944
chrY,57173767,57173769
chrY,57174440,57174444
chrY,57176700,57176717
chrY,57179298,57179320
chrY,57179535,57179539
chrY,57180547,57180559
chrY,57180561,57180576
chrY,57180656,57180672
chrY,57180674,57180675
chrY,57180677,57180716
chrY,57180757,57180760
chrY,57180762,57180777
chrY,57180779,57180797
chrY,57181084,57181121
chrY,57181412,57181441
chrY,57181983,57182010
chrY,57182012,57182147
chrY,57182149,57182183
chrY,57182516,57182524
chrY,57182526,57182541
chrY,57182844,57182871
chrY,57182873,57182881
chrY,57182883,57182905
chrY,57182907,57183017
chrY,57183625,57183628
chrY,57183629,57183638
chrY,57183711,57183919
chrY,57183921,57184058
chrY,57184060,57184072
chrY,57184074,57184094
chrY,57184096,57184162
chrY,57184164,57184412
chrY,57184413,57184413
chrY,57184415,57184461
chrY,57184463,57184563
chrY,57184564,57184594
chrY,57184596,57184625
chrY,57184627,57184730
chrY,57184732,57184745
chrY,57184747,57184793
chrY,57184795,57184823
chrY,57184825,57184932
chrY,57184934,57184946
chrY,57184948,57185042
chrY,57185044,57185087
chrY,57185089,57185097
chrY,57185099,57185222
chrY,57185224,57185235
chrY,57185237,57185251
chrY,57185328,57185359
chrY,57185361,57185365
chrY,57185367,57185462
chrY,57185464,57185485
chrY,57185487,57185502
chrY,57185504,57185605
chrY,57185607,57185624
chrY,57185626,57185642
chrY,57185660,57185694
chrY,57185696,57185753
chrY,57185755,57185755
chrY,57185757,57185774
chrY,57185776,57185809
chrY,57185811,57185847
chrY,57185849,57185857
chrY,57185859,57185939
chrY,57185941,57186043
chrY,57186045,57186060
chrY,57186062,57186158
chrY,57186161,57186176
chrY,57186178,57186181
chrY,57186183,57186290
chrY,57186291,57186291
chrY,57186294,57186337
chrY,57186339,57186363
chrY,57186704,57186765
chrY,57186767,57186842
chrY,57186843,57186850
chrY,57186852,57186853
chrY,57186854,57186954
chrY,57186956,57186973
chrY,57186975,57187012
chrY,57187014,57187091
chrY,57187093,57187116
chrY,57187118,57187135
chrY,57187137,57187159
chrY,57187161,57187172
chrY,57187174,57187184
chrY,57187185,57187186
chrY,57187188,57187201
chrY,57187203,57187206
chrY,57187208,57187209
chrY,57187212,57187214
chrY,57187215,57187217
chrY,57187219,57187222
chrY,57187224,57187231
chrY,57187233,57187233
chrY,57187234,57187357
chrY,57187359,57187374
chrY,57187376,57187426
chrY,57187508,57187708
chrY,57187710,57187715
chrY,57187746,57187753
chrY,57187757,57187776
chrY,57187778,57187778
chrY,57187780,57187786
chrY,57187788,57187807
chrY,57187809,57187827
chrY,57187829,57187860
chrY,57187862,57187879
chrY,57187881,57187987
chrY,57187989,57188048
chrY,57188050,57188080
chrY,57188082,57188091
chrY,57188093,57188137
chrY,57188140,57188147
chrY,57188149,57188149
chrY,57188151,57188156
chrY,57188157,57188161
chrY,57188163,57188195
chrY,57188196,57188294
chrY,57188296,57188347
chrY,57188349,57188386
chrY,57188388,57188389
chrY,57188391,57188397
chrY,57188399,57188420
chrY,57188422,57188485
chrY,57188487,57188507
chrY,57188509,57188530
chrY,57188532,57188580
chrY,57188879,57188894
chrY,57189021,57189058
chrY,57189060,57189130
chrY,57189132,57189133
chrY,57189135,57189151
chrY,57189258,57189277
chrY,57189279,57189374
chrY,57189376,57189463
chrY,57189502,57189617
chrY,57189619,57189736
chrY,57189738,57189797
chrY,57189799,57189911
chrY,57189913,57190086
chrY,57190088,57190125
chrY,57190127,57190384
chrY,57190386,57190401
chrY,57190403,57190410
chrY,57190412,57190494
chrY,57190496,57190529
chrY,57190531,57190586
chrY,57190588,57190592
chrY,57190594,57190666
chrY,57190668,57190743
chrY,57190745,57190793
chrY,57190795,57191131
chrY,57191133,57191142
chrY,57191144,57191163
chrY,57191165,57191241
chrY,57191302,57191308
chrY,57191353,57191353
chrY,57191355,57191366
chrY,57191682,57191688
chrY,57191690,57191842
chrY,57191844,57192029
chrY,57192033,57192067
chrY,57192069,57192091
chrY,57192093,57192093
chrY,57192095,57192128
chrY,57192130,57192155
chrY,57192157,57192167
chrY,57192169,57192189
chrY,57192191,57192202
chrY,57192206,57192208
chrY,57192210,57192216
chrY,57192218,57192258
chrY,57192259,57192295
chrY,57192299,57192300
chrY,57192302,57192320
chrY,57192322,57192323
chrY,57192325,57192337
chrY,57192340,57192344
chrY,57192346,57192348
chrY,57192465,57192476
chrY,57192478,57192517
chrY,57192518,57192536
chrY,57192538,57192539
chrY,57192541,57192546
chrY,57192548,57192567
